Date,ELUX-B.ST
2017-11-16,185.4119110107422
2017-11-17,186.99159240722656
2017-11-20,186.3992156982422
2017-11-21,189.16358947753906
2017-11-22,185.0828399658203
2017-11-23,183.63482666015625
2017-11-24,184.49046325683594
2017-11-27,182.71331787109375
2017-11-28,182.91079711914062
2017-11-29,180.08058166503906
2017-11-30,182.97662353515625
2017-12-01,179.2249298095703
2017-12-04,181.7918701171875
2017-12-05,183.23989868164062
2017-12-06,181.5286102294922
2017-12-07,181.19952392578125
2017-12-08,177.5794677734375
2017-12-11,176.9871063232422
2017-12-12,177.0529327392578
2017-12-13,176.65802001953125
2017-12-14,176.92129516601562
2017-12-15,175.60491943359375
2017-12-18,177.7111358642578
2017-12-19,177.84275817871094
2017-12-20,177.44784545898438
2017-12-21,178.30348205566406
2017-12-22,177.5794677734375
2017-12-27,176.85546875
2017-12-28,176.19728088378906
2017-12-29,173.95944213867188
2018-01-02,171.26087951660156
2018-01-03,169.48373413085938
2018-01-04,171.0634002685547
2018-01-05,173.82777404785156
2018-01-08,172.51141357421875
2018-01-09,176.46055603027344
2018-01-10,174.61761474609375
2018-01-11,173.43289184570312
2018-01-12,175.07835388183594
2018-01-15,174.1569061279297
2018-01-16,173.3670654296875
2018-01-17,173.76197814941406
2018-01-18,170.207763671875
2018-01-19,170.4051971435547
2018-01-22,171.52413940429688
2018-01-23,174.8809051513672
2018-01-24,175.73654174804688
2018-01-25,171.85324096679688
2018-01-26,173.03797912597656
2018-01-29,173.2354278564453
2018-01-30,171.4583282470703
2018-01-31,183.1082763671875
2018-02-01,183.1082763671875
2018-02-02,183.1082763671875
2018-02-05,179.75148010253906
2018-02-06,172.97216796875
2018-02-07,173.63035583496094
2018-02-08,173.1038055419922
2018-02-09,172.57723999023438
2018-02-12,174.68344116210938
2018-02-13,171.65574645996094
2018-02-14,173.69618225097656
2018-02-15,176.3947296142578
2018-02-16,176.5922088623047
2018-02-19,173.2354278564453
2018-02-20,175.07835388183594
2018-02-21,177.84275817871094
