Date,ITBEES.NS
2021-04-05,26.709999084472656
2021-04-06,26.799999237060547
2021-04-07,27.110000610351562
2021-04-08,27.329999923706055
2021-04-09,27.549999237060547
2021-04-12,26.8700008392334
2021-04-13,26.1299991607666
2021-04-15,26.15999984741211
2021-04-16,26.420000076293945
2021-04-19,26.479999542236328
2021-04-20,26.100000381469727
2021-04-22,26.059999465942383
2021-04-23,25.829999923706055
2021-04-26,25.93000030517578
2021-04-27,26.030000686645508
2021-04-28,26.1299991607666
2021-04-29,26.1299991607666
2021-04-30,25.950000762939453
2021-05-03,25.969999313354492
2021-05-04,25.75
2021-05-05,25.979999542236328
2021-05-06,26.440000534057617
2021-05-07,26.459999084472656
2021-05-10,26.469999313354492
2021-05-11,26.31999969482422
2021-05-12,26.139999389648438
2021-05-14,25.860000610351562
