Date,BAC
2016-04-28,12.053075790405273
2016-04-29,11.86563777923584
2016-05-02,12.036775588989258
2016-05-03,11.702651023864746
2016-05-04,11.515209197998047
2016-05-05,11.450014114379883
2016-05-06,11.49891185760498
2016-05-09,11.401118278503418
2016-05-10,11.653753280639648
2016-05-11,11.57225513458252
2016-05-12,11.523360252380371
2016-05-13,11.311471939086914
2016-05-16,11.35222053527832
2016-05-17,11.417418479919434
2016-05-18,11.971583366394043
2016-05-19,11.841187477111816
2016-05-20,11.833039283752441
2016-05-23,11.792295455932617
2016-05-24,11.963430404663086
2016-05-25,12.159018516540527
2016-05-26,11.979729652404785
2016-05-27,12.126421928405762
2016-05-31,12.053075790405273
2016-06-01,12.151202201843262
2016-06-02,12.216617584228516
2016-06-03,11.791407585144043
