Date,EXR
2016-04-28,61.151004791259766
2016-04-29,60.30624008178711
2016-05-02,61.66923904418945
2016-05-03,63.09614562988281
2016-05-04,64.19647216796875
2016-05-05,64.40946197509766
2016-05-06,65.6163101196289
2016-05-09,66.2694091796875
2016-05-10,66.75924682617188
2016-05-11,65.15486907958984
2016-05-12,66.30489349365234
2016-05-13,65.99964141845703
2016-05-16,66.42557525634766
2016-05-17,65.36783599853516
2016-05-18,64.73603057861328
2016-05-19,63.71375274658203
2016-05-20,64.6224136352539
2016-05-23,64.70763397216797
2016-05-24,65.28973388671875
2016-05-25,65.49562072753906
2016-05-26,65.7653579711914
2016-05-27,65.97125244140625
2016-05-31,65.99964141845703
2016-06-01,66.02093505859375
2016-06-02,66.31197357177734
2016-06-03,66.41848754882812
2016-06-06,65.24715423583984
