Date,PFIZER.NS
2016-05-26,1709.3419189453125
2016-05-27,1718.826416015625
2016-05-30,1738.86376953125
2016-05-31,1759.970947265625
2016-06-01,1760.6683349609375
2016-06-02,1745.0006103515625
2016-06-03,1747.65087890625
2016-06-06,1725.52099609375
2016-06-07,1720.4998779296875
2016-06-08,1728.217529296875
2016-06-09,1719.5235595703125
2016-06-10,1723.0570068359375
2016-06-13,1707.90087890625
2016-06-14,1716.920166015625
2016-06-15,1747.65087890625
2016-06-16,1754.6246337890625
2016-06-17,1749.6033935546875
2016-06-20,1754.0201416015625
2016-06-21,1754.06640625
2016-06-22,1753.4622802734375
2016-06-23,1757.181640625
2016-06-24,1719.3841552734375
2016-06-27,1750.365966796875
2016-06-28,1749.2882080078125
2016-06-29,1756.9281005859375
2016-06-30,1776.7547607421875
