Date,AVY
2016-04-28,62.17811584472656
2016-04-29,61.475399017333984
2016-05-02,62.948570251464844
2016-05-03,63.6428108215332
2016-05-04,62.63529968261719
2016-05-05,62.70302963256836
2016-05-06,63.388832092285156
2016-05-09,63.659751892089844
2016-05-10,64.72650146484375
2016-05-11,64.17620849609375
2016-05-12,64.65879821777344
2016-05-13,63.98994445800781
2016-05-16,64.9720458984375
2016-05-17,63.76980209350586
2016-05-18,63.02477264404297
2016-05-19,63.17713165283203
2016-05-20,62.06804275512695
2016-05-23,62.18658447265625
2016-05-24,63.07557678222656
2016-05-25,63.42267608642578
2016-05-26,62.96550750732422
2016-05-27,63.569950103759766
2016-05-31,63.32304763793945
2016-06-01,63.13576126098633
2016-06-02,64.08928680419922
2016-06-03,64.48938751220703
2016-06-06,64.70223999023438
