Date,BAYERCROP.NS
2016-05-31,3509.923828125
2016-06-01,3499.681640625
2016-06-02,3497.242919921875
2016-06-03,3488.86328125
2016-06-06,3491.257568359375
2016-06-07,3487.223388671875
2016-06-08,3485.848388671875
2016-06-09,3499.1494140625
2016-06-10,3514.091064453125
2016-06-13,3493.607666015625
2016-06-14,3457.6494140625
2016-06-15,3551.512451171875
2016-06-16,3521.229248046875
2016-06-17,3483.676025390625
2016-06-20,3467.226806640625
2016-06-21,3495.336669921875
2016-06-22,3489.5732421875
2016-06-23,3475.7392578125
2016-06-24,3499.1494140625
2016-06-27,3546.7236328125
2016-06-28,3508.283447265625
2016-06-29,3481.237548828125
2016-06-30,3458.00439453125
2016-07-01,3473.7001953125
2016-07-04,3489.750244140625
2016-07-05,3512.583251953125
2016-07-07,3494.095458984375
