Date,JMFINANCIL.NS
2016-05-27,39.7251091003418
2016-05-30,39.768287658691406
2016-05-31,38.99105453491211
2016-06-01,39.29330825805664
2016-06-02,40.32962417602539
2016-06-03,40.20008087158203
2016-06-06,39.55238342285156
2016-06-07,39.37966537475586
2016-06-08,42.186336517333984
2016-06-09,44.777103424072266
2016-06-10,46.93608093261719
2016-06-13,45.770240783691406
2016-06-14,45.51115417480469
2016-06-15,45.72705841064453
2016-06-16,45.72705841064453
2016-06-17,45.59751892089844
2016-06-20,45.07936477661133
2016-06-21,45.81340789794922
2016-06-22,44.47484588623047
2016-06-23,43.6976203918457
2016-06-24,42.14316177368164
2016-06-27,43.956695556640625
2016-06-28,43.39536666870117
2016-06-29,43.524906158447266
2016-06-30,44.34531021118164
2016-07-01,45.03618240356445
2016-07-04,45.208900451660156
