Date,LATO-B.ST
2019-09-04,122.66387939453125
2019-09-05,123.30754852294922
2019-09-06,123.49146270751953
2019-09-09,122.47997283935547
2019-09-10,121.46851348876953
2019-09-11,122.93973541259766
2019-09-12,124.31902313232422
2019-09-13,125.23853302001953
2019-09-16,122.57192993164062
2019-09-17,122.02021789550781
2019-09-18,125.05464172363281
2019-09-19,126.34196472167969
2019-09-20,125.79026794433594
2019-09-23,123.12364196777344
2019-09-24,121.37654876708984
2019-09-25,118.80189514160156
2019-09-26,119.26165771484375
2019-09-27,119.35363006591797
2019-09-30,119.16971588134766
2019-10-01,118.98580932617188
2019-10-02,115.49163818359375
2019-10-03,114.48015594482422
2019-10-04,114.6640625
2019-10-07,115.85943603515625
2019-10-08,115.49163818359375
2019-10-09,115.58358764648438
2019-10-10,115.21577453613281
2019-10-11,116.77896118164062
2019-10-14,117.42262268066406
2019-10-15,117.97433471679688
2019-10-16,118.3421401977539
2019-10-17,119.53752136230469
2019-10-18,118.98580932617188
2019-10-21,119.99726867675781
2019-10-22,119.35363006591797
2019-10-23,117.60652923583984
2019-10-24,119.721435546875
2019-10-25,121.10070037841797
2019-10-28,121.65241241455078
2019-10-29,121.74434661865234
2019-10-30,121.56046295166016
2019-10-31,119.99726867675781
2019-11-01,122.29607391357422
2019-11-04,122.75584411621094
2019-11-05,124.04315185546875
2019-11-06,123.7673110961914
2019-11-07,123.95121765136719
2019-11-08,124.96268463134766
2019-11-11,123.7673110961914
2019-11-12,123.95121765136719
2019-11-13,123.03169250488281
2019-11-14,123.39949798583984
2019-11-15,124.68682861328125
2019-11-18,124.22706604003906
2019-11-19,124.59487915039062
2019-11-20,125.6063461303711
2019-11-21,125.05464172363281
2019-11-22,126.52587127685547
2019-11-25,128.18101501464844
2019-11-26,128.82464599609375
2019-11-27,129.1005096435547
2019-11-28,129.92808532714844
2019-11-29,131.49127197265625
2019-12-02,130.1119842529297
2019-12-03,130.1119842529297
2019-12-04,133.2383575439453
2019-12-05,134.7095947265625
2019-12-06,137.37619018554688
2019-12-09,136.73252868652344
2019-12-10,136.1808319091797
2019-12-11,136.36473083496094
2019-12-12,137.00839233398438
2019-12-13,136.82447814941406
2019-12-16,138.6635284423828
2019-12-17,137.9279022216797
2019-12-18,137.9279022216797
2019-12-19,138.57156372070312
2019-12-20,140.77842712402344
2019-12-23,140.87037658691406
2019-12-27,141.97378540039062
2019-12-30,140.5025634765625
2020-01-02,144.36453247070312
2020-01-03,143.81283569335938
2020-01-07,143.16917419433594
2020-01-08,144.08868408203125
2020-01-09,144.91624450683594
2020-01-10,143.81283569335938
2020-01-13,144.36453247070312
2020-01-14,144.36453247070312
2020-01-15,143.7208709716797
2020-01-16,145.65185546875
2020-01-17,147.5828399658203
2020-01-20,148.13458251953125
2020-01-21,147.85870361328125
2020-01-22,148.13458251953125
2020-01-23,146.93922424316406
2020-01-24,150.52529907226562
2020-01-27,147.5828399658203
2020-01-28,148.96212768554688
2020-01-29,149.51385498046875
2020-01-30,148.96212768554688
2020-01-31,147.95065307617188
2020-02-03,148.87017822265625
2020-02-04,151.44485473632812
2020-02-05,152.2724151611328
2020-02-06,149.51385498046875
2020-02-07,148.5023956298828
2020-02-10,149.51385498046875
2020-02-11,153.1919403076172
2020-02-12,151.26092529296875
2020-02-13,152.45632934570312
2020-02-14,153.5597381591797
2020-02-17,158.0653839111328
2020-02-18,157.51365661621094
2020-02-19,158.89295959472656
2020-02-20,159.26075744628906
2020-02-21,158.70904541015625
2020-02-24,149.23800659179688
2020-02-25,145.5599365234375
2020-02-26,146.38746643066406
2020-02-27,140.5025634765625
2020-02-28,138.0198516845703
2020-03-02,137.46815490722656
2020-03-03,143.26112365722656
2020-03-04,141.69793701171875
2020-03-05,139.39915466308594
2020-03-06,136.0888671875
2020-03-09,128.54881286621094
2020-03-10,130.38784790039062
2020-03-11,127.35344696044922
2020-03-12,109.79061126708984
2020-03-13,111.26183319091797
2020-03-16,107.95156860351562
2020-03-17,112.91698455810547
2020-03-18,115.49163818359375
2020-03-19,115.76749420166016
2020-03-20,117.3306655883789
2020-03-23,108.41133880615234
2020-03-24,114.75602722167969
2020-03-25,122.38803100585938
2020-03-26,122.11217498779297
2020-03-27,118.06627655029297
2020-03-30,123.21559143066406
2020-03-31,130.20394897460938
2020-04-01,126.80171966552734
2020-04-02,126.43390655517578
2020-04-03,127.35344696044922
2020-04-06,130.93955993652344
2020-04-07,140.22669982910156
2020-04-08,139.21524047851562
2020-04-09,138.20376586914062
2020-04-14,144.64041137695312
2020-04-15,139.49107360839844
2020-04-16,136.2727813720703
2020-04-17,141.4220733642578
2020-04-20,138.47962951660156
2020-04-21,135.90496826171875
2020-04-22,136.36473083496094
2020-04-23,141.78988647460938
2020-04-24,139.76695251464844
2020-04-27,138.75546264648438
2020-04-28,137.6520538330078
2020-04-29,137.9279022216797
2020-04-30,134.80154418945312
2020-05-04,128.82464599609375
2020-05-05,131.03150939941406
2020-05-06,134.5256805419922
2020-05-07,135.44520568847656
2020-05-08,137.7440185546875
2020-05-11,139.49107360839844
2020-05-12,140.2791748046875
2020-05-13,150.01434326171875
2020-05-14,146.95472717285156
2020-05-15,150.75607299804688
2020-05-18,154.3719940185547
2020-05-19,156.50445556640625
2020-05-20,157.24618530273438
2020-05-22,156.6898956298828
2020-05-25,156.59715270996094
2020-05-26,157.43162536621094
2020-05-27,153.72299194335938
2020-05-28,152.9812469482422
2020-05-29,156.59715270996094
2020-06-01,158.35877990722656
2020-06-02,161.5111083984375
2020-06-03,166.14691162109375
2020-06-04,164.107177734375
2020-06-05,169.0211181640625
2020-06-08,166.3323516845703
2020-06-09,168.74295043945312
2020-06-10,167.5376434326172
2020-06-11,158.17333984375
2020-06-12,156.41172790527344
2020-06-15,156.50445556640625
2020-06-16,158.8223419189453
2020-06-17,160.76937866210938
2020-06-18,157.61705017089844
2020-06-22,155.76271057128906
2020-06-23,157.43162536621094
2020-06-24,154.3719940185547
2020-06-25,156.59715270996094
2020-06-26,156.59715270996094
2020-06-29,156.59715270996094
2020-06-30,156.6898956298828
2020-07-01,158.2660675048828
2020-07-02,161.97467041015625
2020-07-03,159.19322204589844
2020-07-06,161.41842651367188
2020-07-07,161.41842651367188
2020-07-08,160.86209106445312
2020-07-09,159.2859344482422
2020-07-10,159.74951171875
2020-07-13,162.71641540527344
2020-07-14,161.97467041015625
2020-07-15,163.45814514160156
2020-07-16,163.3654327392578
2020-07-17,164.01443481445312
2020-07-20,166.14691162109375
2020-07-21,165.9614715576172
2020-07-22,168.18663024902344
2020-07-23,171.0608673095703
2020-07-24,166.42506408691406
2020-07-27,167.7230682373047
2020-07-28,166.14691162109375
2020-07-29,166.79591369628906
2020-07-30,164.29257202148438
2020-07-31,166.2396240234375
2020-08-03,172.45159912109375
2020-08-04,170.31912231445312
2020-08-05,173.4714813232422
2020-08-06,175.97479248046875
2020-08-07,176.80923461914062
2020-08-10,174.95492553710938
2020-08-11,174.39862060546875
2020-08-12,175.41848754882812
2020-08-13,178.2926788330078
2020-08-14,175.60394287109375
2020-08-17,178.9416961669922
2020-08-18,178.01455688476562
2020-08-19,179.77613830566406
2020-08-20,179.86886596679688
2020-08-21,175.2330780029297
2020-08-24,175.1403350830078
2020-08-25,176.43838500976562
2020-08-26,180.88873291015625
2020-08-27,179.034423828125
2020-08-28,178.01455688476562
2020-08-31,178.8489990234375
2020-09-01,179.68344116210938
2020-09-02,182.92848205566406
2020-09-03,178.9416961669922
2020-09-04,178.10728454589844
2020-09-07,181.72315979003906
2020-09-08,178.8489990234375
2020-09-09,182.00132751464844
2020-09-10,179.77613830566406
2020-09-11,181.35231018066406
2020-09-14,181.44503784179688
2020-09-15,182.8357696533203
2020-09-16,186.72984313964844
2020-09-17,186.1735382080078
2020-09-18,189.88218688964844
2020-09-21,188.02789306640625
2020-09-22,187.84242248535156
2020-09-23,190.99476623535156
2020-09-24,191.1802215576172
2020-09-25,192.29278564453125
2020-09-28,195.8159942626953
2020-09-29,197.11402893066406
2020-09-30,195.4451446533203
2020-10-01,195.6305694580078
2020-10-02,194.1470947265625
2020-10-05,194.51797485351562
2020-10-06,192.4782257080078
2020-10-07,194.1470947265625
2020-10-08,193.21995544433594
2020-10-09,195.6305694580078
2020-10-12,199.15377807617188
2020-10-13,199.33920288085938
