Date,DIVISLAB.NS
2016-05-05,975.6773681640625
2016-05-06,955.3038940429688
2016-05-09,981.3313598632812
2016-05-10,1001.0972900390625
2016-05-11,995.2562255859375
2016-05-12,994.4152221679688
2016-05-13,1008.0126953125
2016-05-16,988.06005859375
2016-05-17,1018.8070678710938
2016-05-18,1000.5833129882812
2016-05-19,987.1255493164062
2016-05-20,974.9765014648438
2016-05-23,966.98583984375
2016-05-24,962.8270874023438
2016-05-25,971.98583984375
2016-05-26,973.3408813476562
2016-05-27,1013.6669921875
2016-05-30,1037.4984130859375
2016-05-31,1027.4984130859375
2016-06-01,1052.077392578125
2016-06-02,1067.030029296875
2016-06-03,1066.095703125
2016-06-06,1067.3106689453125
2016-06-07,1073.104736328125
2016-06-08,1063.058349609375
2016-06-09,1040.6287841796875
