Date,NAVINFLUOR.NS
2016-05-31,390.7025451660156
2016-06-01,396.5426330566406
2016-06-02,399.8395690917969
2016-06-03,394.9413146972656
2016-06-06,388.95989990234375
2016-06-07,386.416748046875
2016-06-08,396.2130432128906
2016-06-09,393.6791076660156
2016-06-10,390.75909423828125
2016-06-13,389.8077392578125
2016-06-14,386.0587463378906
2016-06-15,390.4199523925781
2016-06-16,384.4856262207031
2016-06-17,379.3897399902344
2016-06-20,382.5923767089844
2016-06-21,380.29400634765625
2016-06-22,383.36474609375
2016-06-23,383.345947265625
2016-06-24,381.11346435546875
2016-06-27,378.0992736816406
2016-06-28,374.774169921875
2016-06-29,375.292236328125
2016-06-30,383.1009826660156
2016-07-01,386.708740234375
2016-07-04,380.4917907714844
2016-07-05,379.8230285644531
2016-07-07,378.5419616699219
