Date,NLCINDIA.NS
2016-05-27,43.76626968383789
2016-05-30,43.76626968383789
2016-05-31,43.4814567565918
2016-06-01,43.449806213378906
2016-06-02,43.29158020019531
2016-06-03,43.19664001464844
2016-06-06,43.10169982910156
2016-06-07,43.861209869384766
2016-06-08,44.114376068115234
2016-06-09,44.905517578125
2016-06-10,44.55741500854492
2016-06-13,44.146018981933594
2016-06-14,44.27260208129883
2016-06-15,44.68399429321289
2016-06-16,44.43082809448242
2016-06-17,45.50679397583008
2016-06-20,45.34855651855469
2016-06-21,45.34855651855469
2016-06-22,44.905517578125
2016-06-23,44.65235900878906
2016-06-24,43.797916412353516
2016-06-27,43.956138610839844
2016-06-28,44.36753845214844
2016-06-29,44.96881103515625
2016-06-30,45.53843307495117
2016-07-01,45.60172653198242
2016-07-04,45.91818618774414
