Date,AEP
2016-04-28,45.41184997558594
2016-04-29,45.72870635986328
2016-05-02,46.34803009033203
2016-05-03,46.448856353759766
2016-05-04,47.08976745605469
2016-05-05,46.916934967041016
2016-05-06,46.8951301574707
2016-05-09,47.4254035949707
2016-05-10,47.25107192993164
2016-05-11,47.367286682128906
2016-05-12,47.69416427612305
2016-05-13,47.657840728759766
2016-05-16,47.890281677246094
2016-05-17,46.858821868896484
2016-05-18,45.97990417480469
2016-05-19,46.379417419433594
2016-05-20,46.343074798583984
2016-05-23,45.72566604614258
2016-05-24,46.219608306884766
2016-05-25,46.0743293762207
2016-05-26,46.72806930541992
2016-05-27,46.71353530883789
2016-05-31,47.01863479614258
2016-06-01,47.13484191894531
2016-06-02,46.982295989990234
2016-06-03,47.8031120300293
2016-06-06,47.723209381103516
