Date,BHARATFORG.NS
2016-06-01,356.21795654296875
2016-06-02,355.3292236328125
2016-06-03,351.8216552734375
2016-06-06,346.4899597167969
2016-06-07,349.9742431640625
2016-06-08,357.7145080566406
2016-06-09,355.750244140625
2016-06-10,350.979736328125
2016-06-13,348.0099182128906
2016-06-14,346.5367431640625
2016-06-15,347.54217529296875
2016-06-16,343.2394714355469
2016-06-17,341.485595703125
2016-06-20,353.20123291015625
2016-06-21,353.71575927734375
2016-06-22,345.0869140625
2016-06-23,351.7280578613281
2016-06-24,351.6812744140625
2016-06-27,347.2148742675781
2016-06-28,346.3496398925781
2016-06-29,353.8092956542969
2016-06-30,355.5631103515625
2016-07-01,361.76007080078125
2016-07-04,363.53729248046875
2016-07-05,359.32806396484375
2016-07-07,346.9810791015625
