Date,SBIETFQLTY.NS
2019-09-20,96.95999908447266
2019-09-23,99.11000061035156
2019-09-24,99.63999938964844
2019-09-25,98.01000213623047
2019-09-26,98.7699966430664
2019-09-27,98.11000061035156
2019-09-30,98.66000366210938
2019-10-01,97.33999633789062
2019-10-03,96.94999694824219
2019-10-04,96.27999877929688
2019-10-07,95.94000244140625
2019-10-09,96.12999725341797
2019-10-10,96.05000305175781
2019-10-11,96.80000305175781
2019-10-14,97.45999908447266
2019-10-15,98.11000061035156
2019-10-16,97.70999908447266
2019-10-17,98.95999908447266
2019-10-18,100.04000091552734
2019-10-22,99.5
2019-10-23,100.12999725341797
2019-10-24,100.0199966430664
2019-10-25,100.54000091552734
2019-10-27,100.80000305175781
2019-10-29,101.73999786376953
2019-10-30,101.69000244140625
2019-10-31,103.41999816894531
