Date,CANFINHOME.NS
2016-05-30,220.4932098388672
2016-05-31,226.75790405273438
2016-06-01,226.70164489746094
2016-06-02,224.6947021484375
2016-06-03,228.38038635253906
2016-06-06,232.2254638671875
2016-06-07,227.70510864257812
2016-06-08,227.70510864257812
2016-06-09,225.59498596191406
2016-06-10,220.35256958007812
2016-06-13,221.73114013671875
2016-06-14,220.88710021972656
2016-06-15,221.42166137695312
2016-06-16,221.0371551513672
2016-06-17,217.52027893066406
2016-06-20,216.81692504882812
2016-06-21,214.78182983398438
2016-06-22,210.5897216796875
2016-06-23,216.21670532226562
2016-06-24,218.64569091796875
2016-06-27,218.9082794189453
2016-06-28,219.65855407714844
2016-06-29,229.01809692382812
2016-06-30,229.2525634765625
2016-07-01,228.68984985351562
2016-07-04,227.4425506591797
2016-07-05,224.96499633789062
