Date,SHREECEM.NS
2017-08-31,17098.07421875
2017-09-01,17296.69921875
2017-09-04,17363.37890625
2017-09-05,17552.4296875
2017-09-06,17828.32421875
2017-09-07,18036.71484375
2017-09-08,18213.658203125
2017-09-11,18270.763671875
2017-09-12,18409.8984375
2017-09-13,18340.212890625
2017-09-14,18273.779296875
2017-09-15,18121.7109375
2017-09-18,18020.677734375
2017-09-19,17967.845703125
2017-09-20,17912.83203125
2017-09-21,17904.9609375
2017-09-22,17226.619140625
2017-09-25,17063.95703125
2017-09-26,17411.78125
2017-09-27,17453.13671875
2017-09-28,17687.869140625
2017-09-29,18059.408203125
2017-10-03,18070.583984375
2017-10-04,18179.740234375
2017-10-05,18264.935546875
2017-10-06,18248.794921875
2017-10-09,18048.08203125
2017-10-10,18213.609375
2017-10-11,17987.48046875
2017-10-12,18014.6484375
2017-10-13,18051.87890625
2017-10-16,18287.142578125
2017-10-17,18101.349609375
2017-10-18,17851.794921875
2017-10-19,17702.646484375
2017-10-23,18707.810546875
2017-10-24,18314.06640625
2017-10-25,18833.68359375
2017-10-26,18621.6953125
2017-10-27,18488.00390625
2017-10-30,18504.814453125
2017-10-31,18399.892578125
2017-11-01,18735.90234375
2017-11-02,18636.47265625
2017-11-03,18451.748046875
2017-11-06,18264.349609375
2017-11-07,18340.36328125
2017-11-08,17972.21875
2017-11-09,17602.7734375
2017-11-10,17548.58203125
2017-11-13,17543.3828125
2017-11-14,17538.13671875
2017-11-15,17645.783203125
2017-11-16,17429.470703125
2017-11-17,17766.94140625
2017-11-20,17012.638671875
2017-11-21,16527.138671875
2017-11-22,16620.0078125
2017-11-23,16728.625
2017-11-24,16611.796875
2017-11-27,16646.34765625
2017-11-28,16578.357421875
2017-11-29,16536.080078125
2017-11-30,16715.50390625
2017-12-01,16715.796875
2017-12-04,16459.052734375
2017-12-05,16541.5234375
2017-12-06,16511.486328125
2017-12-07,16880.251953125
2017-12-08,16755.111328125
2017-12-11,16718.275390625
2017-12-12,16709.48046875
2017-12-13,17219.521484375
2017-12-14,17396.71484375
2017-12-15,17286.1015625
2017-12-18,17213.01171875
2017-12-19,17209.51171875
2017-12-20,17306.46484375
2017-12-21,17058.759765625
2017-12-22,17346.947265625
2017-12-26,17245.720703125
2017-12-27,17452.0234375
2017-12-28,17472.48046875
2017-12-29,17567.974609375
2018-01-01,17426.609375
2018-01-02,17495.90625
2018-01-03,17592.32421875
2018-01-04,17474.521484375
2018-01-05,18433.0390625
2018-01-08,18831.400390625
2018-01-09,18885.5859375
2018-01-10,18955.28125
2018-01-11,18988.615234375
2018-01-12,18343.416015625
2018-01-15,18546.755859375
2018-01-16,18568.869140625
2018-01-17,18443.2421875
2018-01-18,17924.236328125
2018-01-19,17859.052734375
2018-01-22,17980.431640625
2018-01-23,17895.390625
2018-01-24,17742.287109375
2018-01-25,17671.501953125
2018-01-29,17345.40234375
2018-01-30,16858.7578125
2018-01-31,16741.75390625
2018-02-01,16981.83984375
2018-02-02,16578.388671875
2018-02-05,16186.5107421875
2018-02-06,16071.8427734375
2018-02-07,16537.666015625
2018-02-08,16545.9375
2018-02-09,16581.3515625
2018-02-12,16495.6328125
2018-02-14,16359.2177734375
2018-02-15,16888.091796875
2018-02-16,16518.25390625
2018-02-19,16314.1689453125
2018-02-20,16473.740234375
2018-02-21,16545.400390625
2018-02-22,16277.876953125
2018-02-23,16754.595703125
2018-02-26,16529.736328125
2018-02-27,16404.70703125
2018-02-28,16174.6357421875
2018-03-01,16147.296875
2018-03-05,16177.216796875
2018-03-06,16196.482421875
2018-03-07,15743.259765625
2018-03-08,15664.0556640625
2018-03-09,15568.751953125
2018-03-12,15715.431640625
2018-03-13,16342.091796875
2018-03-14,16511.931640625
2018-03-15,16361.650390625
2018-03-16,15980.96484375
2018-03-19,15583.1025390625
2018-03-20,15980.330078125
2018-03-21,15682.3984375
2018-03-22,15912.9033203125
2018-03-23,15606.259765625
2018-03-26,15834.0888671875
2018-03-27,15660.1640625
2018-03-28,15759.16796875
2018-04-02,15967.1953125
2018-04-03,16194.63671875
2018-04-04,15877.484375
2018-04-05,16238.7119140625
2018-04-06,16597.40625
2018-04-09,16625.044921875
2018-04-10,16537.275390625
2018-04-11,16453.16015625
2018-04-12,16485.90234375
2018-04-13,16466.48828125
2018-04-16,16510.177734375
2018-04-17,16518.8359375
2018-04-18,16574.9296875
2018-04-19,16679.09375
2018-04-20,16540.87890625
2018-04-23,16655.10546875
2018-04-24,16780.28515625
2018-04-25,16940.732421875
2018-04-26,16762.232421875
2018-04-27,16559.4609375
2018-04-30,16486.33984375
2018-05-02,16155.423828125
2018-05-03,16250.146484375
2018-05-04,15892.6640625
2018-05-07,16108.86328125
2018-05-08,16081.3759765625
2018-05-09,15911.39453125
2018-05-10,15670.5771484375
2018-05-11,15769.626953125
2018-05-14,15747.5390625
2018-05-15,16000.5205078125
2018-05-16,16030.1474609375
2018-05-17,15975.7587890625
2018-05-18,15947.6865234375
2018-05-21,15640.8017578125
2018-05-22,15918.544921875
2018-05-23,15610.8330078125
2018-05-24,15736.205078125
2018-05-25,15811.5654296875
2018-05-28,16372.1123046875
2018-05-29,16371.376953125
2018-05-30,16402.419921875
2018-05-31,16424.845703125
2018-06-01,16206.701171875
2018-06-04,15915.91796875
2018-06-05,15667.2685546875
2018-06-06,15705.505859375
2018-06-07,15887.01953125
2018-06-08,15786.36328125
2018-06-11,16279.966796875
2018-06-12,15816.1357421875
2018-06-13,15939.951171875
2018-06-14,15878.75
2018-06-15,15775.02734375
2018-06-18,15694.1220703125
2018-06-19,15304.0458984375
2018-06-20,15081.4716796875
2018-06-21,14893.0498046875
2018-06-22,15157.2197265625
2018-06-25,15205.1875
2018-06-26,15491.10546875
2018-06-27,15314.9453125
2018-06-28,15080.888671875
2018-06-29,15134.2587890625
2018-07-02,15456.662109375
2018-07-03,15547.0537109375
2018-07-04,15566.171875
2018-07-05,15990.208984375
2018-07-06,15764.033203125
2018-07-09,16141.3603515625
2018-07-10,16351.0908203125
2018-07-11,16479.580078125
2018-07-12,16660.21484375
2018-07-13,16667.07421875
2018-07-16,15897.5771484375
2018-07-17,15586.84765625
2018-07-18,15814.53125
2018-07-19,15808.158203125
2018-07-20,16119.8984375
2018-07-23,16441.921875
2018-07-24,17316.857421875
2018-07-25,17051.466796875
2018-07-26,17039.28125
2018-07-27,16656.8671875
2018-07-30,16744.552734375
2018-07-31,16589.263671875
2018-08-01,16825.125
2018-08-02,16963.197265625
2018-08-03,17021.83203125
2018-08-06,17017.744140625
2018-08-07,16837.3515625
2018-08-08,16873.416015625
2018-08-09,16793.828125
2018-08-10,16904.51953125
