Date,MTO.L
2018-02-05,82.57373046875
2018-02-06,80.15567016601562
2018-02-07,82.36790466308594
2018-02-08,81.49331665039062
2018-02-09,79.22967529296875
2018-02-12,81.59623718261719
2018-02-13,77.6347885131836
2018-02-14,78.61228942871094
2018-02-15,77.84050750732422
2018-02-16,79.53829193115234
2018-02-19,79.22967529296875
2018-02-20,80.0013656616211
2018-02-21,81.1846694946289
2018-02-22,83.70555877685547
2018-02-23,83.03678131103516
2018-02-26,80.51580047607422
2018-02-27,81.54481506347656
2018-02-28,80.92745208740234
2018-03-01,81.49331665039062
2018-03-02,81.23609161376953
2018-03-05,80.72162628173828
2018-03-06,81.6477279663086
2018-03-07,81.75054931640625
2018-03-08,85.14611053466797
2018-03-09,85.19762420654297
2018-03-12,83.6541519165039
2018-03-13,82.67665100097656
2018-03-14,83.85997772216797
2018-03-15,82.93387603759766
2018-03-16,80.41287994384766
2018-03-19,79.94994354248047
2018-03-20,76.96591186523438
2018-03-21,77.1717529296875
2018-03-22,76.45145416259766
2018-03-23,79.48690032958984
2018-03-26,78.40647888183594
2018-03-27,80.0013656616211
2018-03-28,80.46440887451172
2018-03-29,81.80205535888672
2018-04-03,80.36148834228516
2018-04-04,80.20716857910156
2018-04-05,81.0817642211914
2018-04-06,83.34541320800781
2018-04-09,82.72804260253906
2018-04-10,84.1172103881836
2018-04-11,83.911376953125
2018-04-12,89.3133544921875
2018-04-13,85.40335845947266
2018-04-16,85.45484924316406
2018-04-17,85.66057586669922
2018-04-18,87.30695343017578
2018-04-19,92.70894622802734
2018-04-20,95.43573760986328
2018-04-23,97.64798736572266
2018-04-24,93.4807357788086
2018-04-25,94.50963592529297
2018-04-26,94.97268676757812
2018-04-27,95.74436950683594
2018-04-30,94.35531616210938
2018-05-01,96.9791030883789
2018-05-02,95.43573760986328
2018-05-03,96.67048645019531
2018-05-04,96.51615142822266
2018-05-08,96.56756591796875
2018-05-09,97.3907470703125
2018-05-10,98.26534271240234
2018-05-11,98.57398986816406
2018-05-14,99.91162109375
2018-05-15,97.90521240234375
2018-05-16,98.98562622070312
2018-05-17,97.69938659667969
2018-05-18,94.92118835449219
2018-05-21,100.11744689941406
2018-05-22,97.44217681884766
2018-05-23,100.47759246826172
2018-05-24,98.3167495727539
2018-05-25,99.80883026123047
2018-05-29,96.00160217285156
2018-05-30,95.22991180419922
2018-05-31,91.98865509033203
2018-06-01,93.53211975097656
2018-06-04,94.20099639892578
2018-06-05,93.3778076171875
2018-06-06,100.68341827392578
2018-06-07,100.42618560791016
2018-06-08,92.45171356201172
2018-06-11,89.3133544921875
2018-06-12,91.01113891601562
2018-06-13,84.94038391113281
2018-06-14,84.7859878540039
2018-06-15,82.93387603759766
2018-06-18,80.72162628173828
2018-06-19,81.23609161376953
2018-06-20,82.5223159790039
2018-06-21,80.37487030029297
2018-06-22,80.7864990234375
2018-06-25,81.76416015625
2018-06-26,81.815673828125
2018-06-27,80.58073425292969
2018-06-28,79.9117431640625
2018-06-29,80.42626953125
2018-07-02,78.98558807373047
2018-07-03,80.7864990234375
2018-07-04,81.45547485351562
2018-07-05,80.94092559814453
2018-07-06,89.22541046142578
2018-07-09,88.81369018554688
2018-07-10,91.9011459350586
2018-07-11,88.19622802734375
