Date,AVON.L
2019-10-17,1696.01220703125
2019-10-18,1692.0167236328125
2019-10-21,1711.993408203125
2019-10-22,1779.9136962890625
2019-10-23,1793.897216796875
2019-10-24,1711.993408203125
2019-10-25,1707.9979248046875
2019-10-28,1704.0025634765625
2019-10-29,1745.95361328125
2019-10-30,1767.927734375
2019-10-31,1773.9207763671875
2019-11-01,1783.908935546875
2019-11-04,1839.843505859375
2019-11-05,1839.843505859375
2019-11-06,1817.8692626953125
2019-11-07,1835.8480224609375
2019-11-08,1839.843505859375
2019-11-11,1889.784912109375
2019-11-12,1887.787353515625
2019-11-13,1897.7755126953125
2019-11-14,1935.73095703125
2019-11-15,1929.73828125
2019-11-18,1979.6793212890625
2019-11-19,2057.587890625
2019-11-20,1997.658447265625
2019-11-21,1937.7288818359375
2019-11-22,1989.667724609375
2019-11-25,2047.5997314453125
2019-11-26,2052.59375
2019-11-27,2072.57080078125
2019-11-28,2032.617431640625
2019-11-29,2007.6466064453125
2019-12-02,1981.6771240234375
2019-12-03,1947.717041015625
2019-12-04,1997.658447265625
2019-12-05,1951.7122802734375
2019-12-06,1949.7147216796875
2019-12-09,1987.67041015625
2019-12-10,1967.6937255859375
2019-12-11,1971.6888427734375
2019-12-12,1971.6888427734375
2019-12-13,1995.6610107421875
2019-12-16,1997.658447265625
2019-12-17,2042.605712890625
2019-12-18,2037.611572265625
2019-12-19,1997.658447265625
2019-12-20,2037.611572265625
2019-12-23,1997.658447265625
2019-12-24,2147.48291015625
2019-12-27,2087.55322265625
2019-12-30,2067.57666015625
2019-12-31,2087.55322265625
2020-01-02,2077.564697265625
2020-01-03,2197.424072265625
2020-01-06,2292.312744140625
2020-01-07,2402.1845703125
2020-01-08,2417.166748046875
2020-01-09,2432.14892578125
2020-01-10,2437.142822265625
2020-01-13,2482.090576171875
2020-01-14,2482.090576171875
2020-01-15,2452.12548828125
2020-01-16,2407.178466796875
2020-01-17,2462.11376953125
2020-01-20,2417.166748046875
2020-01-21,2402.1845703125
2020-01-22,2352.24267578125
2020-01-23,2217.40087890625
2020-01-24,2322.2783203125
2020-01-27,2337.26025390625
2020-01-28,2387.20166015625
2020-01-29,2442.137451171875
2020-01-30,2532.0322265625
2020-01-31,2492.07861328125
2020-02-03,2527.0380859375
2020-02-04,2611.938232421875
2020-02-05,2606.9443359375
2020-02-06,2646.897705078125
2020-02-07,2666.8740234375
2020-02-10,2641.9033203125
2020-02-11,2661.880126953125
2020-02-12,2746.780029296875
2020-02-13,2672.002685546875
2020-02-14,2701.9697265625
2020-02-17,2736.930419921875
2020-02-18,2726.941162109375
2020-02-19,2731.935791015625
2020-02-20,2746.9189453125
2020-02-21,2776.8857421875
2020-02-24,2657.020263671875
2020-02-25,2716.952880859375
2020-02-26,2696.974853515625
2020-02-27,2676.997802734375
2020-02-28,2726.941162109375
2020-03-02,2612.0703125
2020-03-03,2672.002685546875
2020-03-04,2691.980712890625
2020-03-05,2711.95849609375
2020-03-06,2397.311279296875
2020-03-09,2412.29443359375
2020-03-10,2262.462646484375
2020-03-11,2362.35009765625
2020-03-12,2177.557373046875
2020-03-13,2122.619140625
2020-03-16,2047.702880859375
2020-03-17,2067.68115234375
2020-03-18,2192.541015625
2020-03-19,2167.569091796875
2020-03-20,2247.479248046875
2020-03-23,2217.512939453125
2020-03-24,2557.1318359375
2020-03-25,2347.367431640625
2020-03-26,2402.305908203125
2020-03-27,2357.355712890625
2020-03-30,2397.311279296875
2020-03-31,2302.417724609375
2020-04-01,2402.305908203125
2020-04-02,2462.23828125
2020-04-03,2482.2158203125
2020-04-06,2482.2158203125
2020-04-07,2667.0087890625
2020-04-08,2736.930419921875
2020-04-09,2801.857177734375
2020-04-14,2766.896728515625
2020-04-15,2617.064208984375
2020-04-16,2662.0146484375
2020-04-17,2691.980712890625
2020-04-20,2617.064208984375
2020-04-21,2517.1767578125
2020-04-22,2462.23828125
2020-04-23,2567.120849609375
2020-04-24,2602.08154296875
2020-04-27,2726.941162109375
2020-04-28,2642.036865234375
2020-04-29,2746.9189453125
2020-04-30,2647.03125
2020-05-01,2637.042236328125
2020-05-04,2612.0703125
2020-05-05,2577.10986328125
2020-05-06,2612.0703125
2020-05-07,2672.002685546875
2020-05-11,2746.9189453125
2020-05-12,2776.8857421875
2020-05-13,2826.8291015625
2020-05-14,2741.9248046875
2020-05-15,2756.908203125
2020-05-18,2826.8291015625
2020-05-19,2971.6669921875
2020-05-20,2946.69482421875
2020-05-21,3131.4873046875
2020-05-22,3136.482421875
2020-05-26,3176.437744140625
2020-05-27,3221.38720703125
2020-05-28,3296.302978515625
2020-05-29,3266.33642578125
2020-06-01,3296.302978515625
2020-06-02,3306.2919921875
2020-06-03,3356.235595703125
2020-06-04,3271.330810546875
2020-06-05,3146.47119140625
2020-06-08,3041.588623046875
2020-06-09,2971.6669921875
2020-06-10,2986.650146484375
2020-06-11,2941.70068359375
2020-06-12,3026.605224609375
2020-06-15,3071.55517578125
