Date,EQUITASBNK.NS
2021-08-02,59.32651901245117
2021-08-03,59.91294479370117
2021-08-04,58.88670349121094
2021-08-05,60.645973205566406
2021-08-06,59.81520462036133
2021-08-09,58.495750427246094
2021-08-10,56.5410041809082
2021-08-11,55.856849670410156
2021-08-12,58.98443603515625
2021-08-13,59.082176208496094
2021-08-16,61.4278678894043
2021-08-17,61.036922454833984
2021-08-18,59.424259185791016
2021-08-20,57.02968978881836
2021-08-23,55.856849670410156
2021-08-24,56.736480712890625
2021-08-25,56.78534698486328
2021-08-26,57.322906494140625
2021-08-27,57.5672492980957
2021-08-30,57.8604621887207
2021-08-31,58.202537536621094
2021-09-01,61.23239517211914
2021-09-02,59.61973190307617
2021-09-03,58.69122314453125
2021-09-06,58.39801788330078
2021-09-07,58.202537536621094
2021-09-08,57.4206428527832
