Date,IBE.MC
2016-05-10,4.050908088684082
2016-05-11,3.966830015182495
2016-05-12,3.988507032394409
2016-05-13,4.024633884429932
2016-05-16,4.014780521392822
2016-05-17,3.9727416038513184
2016-05-18,3.9904773235321045
2016-05-19,3.9589462280273438
2016-05-20,3.991133213043213
2016-05-23,3.9379265308380127
2016-05-24,4.006899833679199
2016-05-25,4.04368257522583
2016-05-26,4.043026924133301
2016-05-27,4.055506706237793
2016-05-30,4.052879810333252
2016-05-31,4.004271030426025
2016-06-01,3.9418678283691406
2016-06-02,3.952378988265991
2016-06-03,3.9300448894500732
2016-06-06,3.9254462718963623
2016-06-07,3.9576332569122314
2016-06-08,3.976025342941284
2016-06-09,3.992447853088379
2016-06-10,3.884720802307129
2016-06-13,3.8183767795562744
2016-06-14,3.7231318950653076
