Date,EQNR.OL
2016-05-24,94.79539489746094
2016-05-25,96.89569854736328
2016-05-26,96.6856918334961
2016-05-27,94.58533477783203
2016-05-30,95.07543182373047
2016-05-31,93.3951416015625
2016-06-01,91.78489685058594
2016-06-02,91.9249038696289
2016-06-03,92.20496368408203
2016-06-06,94.79539489746094
2016-06-07,96.4056396484375
2016-06-08,97.94589233398438
2016-06-09,96.61566925048828
2016-06-10,95.6355209350586
2016-06-13,94.79539489746094
2016-06-14,93.18512725830078
2016-06-15,93.18512725830078
2016-06-16,91.15477752685547
2016-06-17,94.8653793334961
2016-06-20,97.03572845458984
2016-06-21,95.6355209350586
2016-06-22,97.52581787109375
2016-06-23,98.7860107421875
2016-06-24,97.03572845458984
2016-06-27,94.79539489746094
2016-06-28,96.19560241699219
2016-06-29,99.48614501953125
