Date,COFORGE.NS
2016-05-30,82.96687316894531
2016-05-31,84.7291488647461
2016-06-01,86.71825408935547
2016-06-02,87.23298645019531
2016-06-03,86.71825408935547
2016-06-06,88.05306243896484
2016-06-07,89.4925308227539
2016-06-08,94.45661926269531
2016-06-09,91.90040588378906
2016-06-10,92.88626098632812
2016-06-13,96.82085418701172
2016-06-14,98.87106323242188
2016-06-15,96.83831024169922
2016-06-16,94.91026306152344
2016-06-17,94.49149322509766
2016-06-20,93.22649383544922
2016-06-21,92.2319564819336
2016-06-22,91.12394714355469
2016-06-23,91.10652160644531
2016-06-24,88.5067138671875
2016-06-27,87.52088928222656
2016-06-28,85.39218139648438
2016-06-29,86.63973999023438
2016-06-30,89.46637725830078
2016-07-01,90.19921112060547
2016-07-04,91.3769760131836
