Date,CERA.NS
2016-05-20,1896.2552490234375
2016-05-23,1919.559814453125
2016-05-24,1905.3206787109375
2016-05-25,1949.6517333984375
2016-05-26,1948.6072998046875
2016-05-27,1943.62353515625
2016-05-30,1931.472900390625
2016-05-31,1901.8084716796875
2016-06-01,1937.0262451171875
2016-06-02,1952.9739990234375
2016-06-03,1958.52734375
2016-06-06,1964.4124755859375
2016-06-07,1972.19677734375
2016-06-08,1998.68115234375
2016-06-09,2013.2999267578125
2016-06-10,1990.9449462890625
2016-06-13,1965.45654296875
2016-06-14,1956.438720703125
2016-06-15,2010.6893310546875
2016-06-16,2037.7908935546875
2016-06-17,2089.810546875
2016-06-20,2090.902587890625
2016-06-21,2109.603515625
2016-06-22,2125.36083984375
2016-06-23,2108.036865234375
2016-06-24,2096.313232421875
2016-06-27,2163.853515625
