Date,SAMMAANCAP.NS
2016-05-31,498.0024108886719
2016-06-01,503.44378662109375
2016-06-02,506.9788818359375
2016-06-03,520.8074951171875
2016-06-06,516.2325439453125
2016-06-07,511.4497985839844
2016-06-08,513.35595703125
2016-06-09,510.756591796875
2016-06-10,493.3236389160156
2016-06-13,483.0301208496094
2016-06-14,480.74273681640625
2016-06-15,489.58050537109375
2016-06-16,484.4163513183594
2016-06-17,481.99029541015625
2016-06-20,485.1788635253906
2016-06-21,481.47052001953125
2016-06-22,479.0097961425781
2016-06-23,473.67236328125
2016-06-24,454.7145080566406
2016-06-27,457.0018310546875
2016-06-28,461.230224609375
2016-06-29,458.7001953125
2016-06-30,465.1465148925781
2016-07-01,471.142333984375
2016-07-04,476.4797668457031
2016-07-05,470.4492492675781
2016-07-07,468.36968994140625
