Date,PKG
2016-04-28,50.060035705566406
2016-04-29,49.3226318359375
2016-05-02,50.265316009521484
2016-05-03,49.702735900878906
2016-05-04,49.223812103271484
2016-05-05,49.375850677490234
2016-05-06,49.62671661376953
2016-05-09,49.8699951171875
2016-05-10,50.74423599243164
2016-05-11,50.29571533203125
2016-05-12,50.424949645996094
2016-05-13,49.657127380371094
2016-05-16,50.51616668701172
2016-05-17,49.47468566894531
2016-05-18,48.95013427734375
2016-05-19,48.752471923828125
2016-05-20,49.51268005371094
2016-05-23,49.67994689941406
2016-05-24,50.029632568359375
2016-05-25,51.39801788330078
2016-05-26,51.34480667114258
2016-05-27,51.94536590576172
2016-05-31,51.86935806274414
2016-06-01,52.42430114746094
2016-06-02,52.81962203979492
2016-06-03,52.652374267578125
2016-06-06,53.024871826171875
