Date,RBLBANK.NS
2017-06-06,524.90869140625
2017-06-07,531.3394775390625
2017-06-08,526.6978149414062
2017-06-09,519.880126953125
2017-06-12,510.4031982421875
2017-06-13,499.3305358886719
2017-06-14,501.0228576660156
2017-06-15,497.0579833984375
2017-06-16,498.02508544921875
2017-06-19,492.56134033203125
2017-06-20,492.8514099121094
2017-06-21,495.3173522949219
2017-06-22,494.83380126953125
2017-06-23,489.1766662597656
2017-06-27,492.1744689941406
2017-06-28,488.6931457519531
2017-06-29,485.2601013183594
2017-06-30,491.01397705078125
2017-07-03,500.6360778808594
2017-07-04,504.6008605957031
2017-07-05,506.97015380859375
2017-07-06,507.55029296875
2017-07-07,509.62945556640625
2017-07-10,515.044921875
2017-07-11,514.5130615234375
2017-07-12,516.1570434570312
2017-07-13,528.3416748046875
