Date,YESBANK.NS
2016-05-30,199.3994140625
2016-05-31,200.57412719726562
2016-06-01,197.64219665527344
2016-06-02,203.6904754638672
2016-06-03,203.75843811035156
2016-06-06,206.7292022705078
2016-06-07,207.02044677734375
2016-06-08,204.61277770996094
2016-06-09,201.94297790527344
2016-06-10,206.45736694335938
2016-06-13,206.8165740966797
2016-06-14,206.70977783203125
2016-06-15,207.93301391601562
2016-06-16,205.9234161376953
2016-06-17,207.92330932617188
2016-06-20,208.7776641845703
2016-06-21,208.0301055908203
2016-06-22,209.47666931152344
2016-06-23,215.6802978515625
2016-06-24,209.7970428466797
2016-06-27,208.87472534179688
2016-06-28,207.73886108398438
2016-06-29,208.2825164794922
2016-06-30,214.96185302734375
2016-07-01,219.35003662109375
2016-07-04,217.0006103515625
2016-07-05,218.70928955078125
