Date,A
2016-04-18,38.397377014160156
2016-04-19,38.48103713989258
2016-04-20,38.59257125854492
2016-04-21,38.973655700683594
2016-04-22,38.85281753540039
2016-04-25,38.694820404052734
2016-04-26,38.406681060791016
2016-04-27,38.648338317871094
2016-04-28,38.27655029296875
2016-04-29,38.03486251831055
2016-05-02,38.7691764831543
2016-05-03,38.33231735229492
2016-05-04,37.66306686401367
2016-05-05,38.072059631347656
2016-05-06,38.5089225769043
2016-05-09,38.415958404541016
2016-05-10,39.03872299194336
2016-05-11,39.46628952026367
2016-05-12,39.71725082397461
2016-05-13,39.615020751953125
2016-05-16,39.91244888305664
2016-05-17,41.27880859375
2016-05-18,41.19514846801758
2016-05-19,41.418235778808594
2016-05-20,41.724971771240234
2016-05-23,41.42751693725586
2016-05-24,41.85508728027344
2016-05-25,42.217594146728516
2016-05-26,42.30124282836914
2016-05-27,42.58938217163086
2016-05-31,42.65446472167969
2016-06-01,42.71022415161133
2016-06-02,42.663753509521484
2016-06-03,42.49644470214844
2016-06-06,42.62656021118164
