Date,GRMN
2016-04-28,33.491668701171875
2016-04-29,33.0039176940918
2016-05-02,33.29811477661133
2016-05-03,32.732948303222656
2016-05-04,31.958757400512695
2016-05-05,31.788433074951172
2016-05-06,31.61810874938965
2016-05-09,31.28520965576172
2016-05-10,31.610361099243164
2016-05-11,31.184555053710938
2016-05-12,31.099403381347656
2016-05-13,30.97553062438965
2016-05-16,31.29294776916504
2016-05-17,31.014236450195312
2016-05-18,30.92133331298828
2016-05-19,30.82843780517578
2016-05-20,31.19230079650879
2016-05-23,31.31617546081543
2016-05-24,31.842620849609375
2016-05-25,31.96649742126465
2016-05-26,32.09036636352539
2016-05-27,32.29166030883789
2016-05-31,32.91876220703125
2016-06-01,32.75617980957031
2016-06-02,33.13553237915039
2016-06-03,32.810367584228516
