Date,MONC.MI
2016-05-17,13.63886547088623
2016-05-18,13.567688941955566
2016-05-19,13.363062858581543
2016-05-20,13.345269203186035
2016-05-23,13.228519439697266
2016-05-24,13.560803413391113
2016-05-25,13.444055557250977
2016-05-26,13.273423194885254
2016-05-27,13.47099781036377
2016-05-30,13.59672737121582
2016-05-31,13.462016105651855
2016-06-01,13.47099781036377
2016-06-02,13.49793815612793
2016-06-03,13.363229751586914
2016-06-06,13.318325996398926
2016-06-07,13.668572425842285
2016-06-08,13.731437683105469
2016-06-09,13.740416526794434
2016-06-10,13.30036449432373
2016-06-13,13.156672477722168
2016-06-14,12.725602149963379
2016-06-15,13.210558891296387
2016-06-16,12.860311508178711
2016-06-17,13.47099781036377
2016-06-20,13.812261581420898
2016-06-21,13.67755126953125
