Date,WTB.L
2021-08-13,3116.84130859375
2021-08-16,3096.86181640625
2021-08-17,3020.938720703125
2021-08-18,3035.92333984375
2021-08-19,2991.968017578125
2021-08-20,3030.92822265625
2021-08-23,3041.9169921875
2021-08-24,3179.777587890625
2021-08-25,3199.757568359375
2021-08-26,3159.7978515625
2021-08-27,3204.75244140625
2021-08-31,3204.75244140625
2021-09-01,3225.73095703125
2021-09-02,3248.707763671875
2021-09-03,3202.75439453125
2021-09-06,3180.776611328125
2021-09-07,3256.69970703125
2021-09-08,3247.70849609375
2021-09-09,3288.66748046875
2021-09-10,3254.70166015625
2021-09-13,3289.66650390625
2021-09-14,3281.67431640625
2021-09-15,3186.7705078125
2021-09-16,3272.68359375
2021-09-17,3272.68359375
2021-09-20,3247.70849609375
2021-09-21,3309.645751953125
2021-09-22,3341.61376953125
2021-09-23,3334.620849609375
2021-09-24,3369.58544921875
2021-09-27,3434.51953125
2021-09-28,3347.60791015625
2021-09-29,3382.572021484375
2021-09-30,3312.642822265625
2021-10-01,3402.552001953125
2021-10-04,3343.611572265625
2021-10-05,3356.598388671875
2021-10-06,3202.75439453125
2021-10-07,3211.745361328125
2021-10-08,3257.69873046875
2021-10-11,3248.707763671875
2021-10-12,3207.749267578125
2021-10-13,3230.72607421875
2021-10-14,3309.645751953125
2021-10-15,3365.58935546875
2021-10-18,3283.672607421875
2021-10-19,3286.6689453125
2021-10-20,3191.765625
2021-10-21,3163.7939453125
2021-10-22,3117.84033203125
2021-10-25,3151.80615234375
2021-10-26,3289.66650390625
2021-10-27,3308.647216796875
2021-10-28,3322.6328125
2021-10-29,3266.689453125
2021-11-01,3306.649169921875
2021-11-02,3288.66748046875
2021-11-03,3280.675537109375
2021-11-04,3356.598388671875
2021-11-05,3422.531494140625
2021-11-08,3354.600830078125
2021-11-09,3311.643798828125
2021-11-10,3334.620849609375
2021-11-11,3272.68359375
2021-11-12,3196.76025390625
2021-11-15,3156.801025390625
2021-11-16,3125.83251953125
2021-11-17,3061.89697265625
2021-11-18,3079.87890625
2021-11-19,3009.94970703125
2021-11-22,2987.971923828125
2021-11-23,3006.953125
2021-11-24,3020.938720703125
2021-11-25,3104.853515625
2021-11-26,2834.1279296875
2021-11-29,2872.089599609375
2021-11-30,2800.162353515625
2021-12-01,2887.07421875
2021-12-02,2885.07666015625
2021-12-03,2880.08154296875
2021-12-06,2972.987060546875
2021-12-07,2953.007080078125
2021-12-08,2955.005615234375
2021-12-09,2934.0263671875
2021-12-10,2895.06591796875
2021-12-13,2794.16845703125
2021-12-14,2811.1513671875
2021-12-15,2710.25341796875
2021-12-16,2710.25341796875
2021-12-17,2766.197021484375
2021-12-20,2784.178466796875
2021-12-21,2878.083251953125
2021-12-22,2947.013427734375
2021-12-23,2960.0
2021-12-24,2995.964111328125
2021-12-29,2964.9951171875
2021-12-30,3008.950927734375
2021-12-31,2991.968017578125
2022-01-04,3130.8271484375
2022-01-05,3152.804443359375
2022-01-06,3165.791748046875
2022-01-07,3161.79638671875
2022-01-10,3158.798583984375
2022-01-11,3195.76123046875
2022-01-12,3138.819091796875
2022-01-13,3136.821044921875
2022-01-14,3087.870849609375
2022-01-17,3147.81005859375
2022-01-18,3095.863037109375
2022-01-19,3068.8896484375
2022-01-20,3120.83740234375
2022-01-21,3080.8779296875
2022-01-24,2939.021240234375
2022-01-25,2965.994140625
2022-01-26,3035.92333984375
2022-01-27,2993.966064453125
2022-01-28,2973.986328125
2022-01-31,3018.940673828125
2022-02-01,3079.87890625
2022-02-02,3050.908203125
2022-02-03,3001.9580078125
2022-02-04,2964.9951171875
2022-02-07,3012.94677734375
2022-02-08,3065.89306640625
2022-02-09,3160.796630859375
2022-02-10,3218.738037109375
2022-02-11,3239.716796875
2022-02-14,3197.759033203125
2022-02-15,3221.735107421875
2022-02-16,3188.7685546875
2022-02-17,3139.81787109375
2022-02-18,3107.850341796875
2022-02-21,3037.921142578125
2022-02-22,3073.884765625
2022-02-23,3022.936279296875
2022-02-24,2831.130859375
2022-02-25,2943.01806640625
2022-02-28,2921.039794921875
2022-03-01,2698.265625
2022-03-02,2841.12060546875
2022-03-03,2700.263671875
2022-03-04,2549.416259765625
2022-03-07,2470.496337890625
2022-03-08,2433.533935546875
2022-03-09,2647.317626953125
2022-03-10,2591.3740234375
2022-03-11,2663.301025390625
2022-03-14,2645.319091796875
2022-03-15,2675.2890625
2022-03-16,2793.16943359375
2022-03-17,2793.16943359375
2022-03-18,2793.16943359375
2022-03-21,2772.190673828125
2022-03-22,2792.170166015625
2022-03-23,2686.277587890625
2022-03-24,2739.223876953125
2022-03-25,2762.20068359375
2022-03-28,2776.186767578125
2022-03-29,2931.029541015625
2022-03-30,2876.085205078125
2022-03-31,2854.107421875
2022-04-01,2870.091552734375
2022-04-04,2887.07421875
2022-04-05,2867.094482421875
2022-04-06,2765.197509765625
2022-04-07,2780.182373046875
2022-04-08,2825.13671875
2022-04-11,2846.115966796875
2022-04-12,2805.156982421875
2022-04-13,2809.1533203125
2022-04-14,2912.048828125
2022-04-19,2907.053955078125
2022-04-20,2959.00146484375
2022-04-21,2992.967041015625
2022-04-22,2848.11376953125
2022-04-25,2787.17529296875
2022-04-26,2777.185791015625
2022-04-27,2754.208740234375
2022-04-28,2872.089599609375
2022-04-29,2814.1484375
2022-05-03,2889.072265625
2022-05-04,2837.125
2022-05-05,2752.210693359375
2022-05-06,2701.262451171875
2022-05-09,2558.407470703125
2022-05-10,2526.439697265625
2022-05-11,2603.361572265625
2022-05-12,2570.395263671875
2022-05-13,2655.309326171875
2022-05-16,2644.320068359375
2022-05-17,2653.3115234375
2022-05-18,2591.3740234375
2022-05-19,2615.349609375
2022-05-20,2664.300048828125
2022-05-23,2667.297119140625
2022-05-24,2598.366943359375
2022-05-25,2636.32861328125
2022-05-26,2725.596923828125
2022-05-27,2727.594970703125
2022-05-30,2752.57275390625
2022-05-31,2720.60107421875
2022-06-01,2626.68359375
2022-06-06,2670.645263671875
2022-06-07,2698.62060546875
2022-06-08,2745.5791015625
2022-06-09,2743.580810546875
2022-06-10,2674.641845703125
2022-06-13,2523.7744140625
2022-06-14,2563.73974609375
2022-06-15,2724.59765625
2022-06-16,2558.743896484375
2022-06-17,2604.703369140625
2022-06-20,2655.658203125
2022-06-21,2603.7041015625
2022-06-22,2540.759765625
2022-06-23,2495.79931640625
2022-06-24,2553.748291015625
2022-06-27,2576.728271484375
2022-06-28,2641.670654296875
2022-06-29,2539.760498046875
2022-06-30,2475.816650390625
2022-07-01,2506.789794921875
2022-07-04,2451.837890625
2022-07-05,2428.858154296875
2022-07-06,2461.829345703125
2022-07-07,2519.7783203125
2022-07-08,2541.758544921875
2022-07-11,2507.78857421875
2022-07-12,2533.765869140625
2022-07-13,2541.758544921875
2022-07-14,2537.76220703125
2022-07-15,2610.69775390625
2022-07-18,2652.660888671875
2022-07-19,2678.6376953125
2022-07-20,2692.62548828125
2022-07-21,2664.650390625
2022-07-22,2687.630615234375
2022-07-25,2656.6572265625
2022-07-26,2614.694580078125
2022-07-27,2672.643310546875
2022-07-28,2588.71728515625
2022-07-29,2595.711181640625
2022-08-01,2613.695068359375
2022-08-02,2555.74658203125
2022-08-03,2571.732666015625
2022-08-04,2642.669677734375
2022-08-05,2607.700439453125
2022-08-08,2655.658203125
2022-08-09,2596.710205078125
2022-08-10,2678.6376953125
2022-08-11,2652.660888671875
2022-08-12,2673.642333984375
2022-08-15,2684.632568359375
2022-08-16,2663.651123046875
2022-08-17,2605.7021484375
2022-08-18,2620.688720703125
2022-08-19,2583.72216796875
2022-08-22,2552.748779296875
2022-08-23,2532.766845703125
2022-08-24,2544.756103515625
2022-08-25,2551.75
2022-08-26,2504.791259765625
2022-08-30,2501.7939453125
2022-08-31,2501.7939453125
2022-09-01,2460.830078125
2022-09-02,2549.75146484375
2022-09-05,2534.76513671875
2022-09-06,2565.737548828125
2022-09-07,2549.75146484375
2022-09-08,2548.752685546875
2022-09-09,2599.70751953125
2022-09-12,2670.645263671875
2022-09-13,2660.65380859375
2022-09-14,2666.64892578125
2022-09-15,2685.632080078125
2022-09-16,2628.68212890625
2022-09-20,2617.69189453125
2022-09-21,2557.74462890625
2022-09-22,2507.78857421875
2022-09-23,2461.829345703125
2022-09-26,2440.418212890625
2022-09-27,2374.90576171875
2022-09-28,2437.850341796875
2022-09-29,2282.98681640625
2022-09-30,2299.971923828125
2022-10-03,2315.957763671875
2022-10-04,2475.816650390625
2022-10-05,2487.806640625
2022-10-06,2486.80712890625
2022-10-07,2444.844482421875
2022-10-10,2436.8515625
2022-10-11,2416.869140625
2022-10-12,2358.919921875
2022-10-13,2467.82421875
2022-10-14,2505.79052734375
2022-10-17,2586.718994140625
2022-10-18,2603.7041015625
2022-10-19,2545.755126953125
2022-10-20,2581.72314453125
2022-10-21,2566.73681640625
2022-10-24,2608.699951171875
2022-10-25,2619.690185546875
2022-10-26,2571.732666015625
2022-10-27,2580.724365234375
2022-10-28,2565.737548828125
2022-10-31,2569.73388671875
2022-11-01,2568.73486328125
2022-11-02,2551.75
2022-11-03,2550.750732421875
2022-11-04,2573.73046875
2022-11-07,2534.76513671875
2022-11-08,2564.738525390625
2022-11-09,2532.766845703125
2022-11-10,2561.988037109375
2022-11-11,2582.97119140625
2022-11-14,2553.994140625
2022-11-15,2546.000244140625
2022-11-16,2465.063720703125
2022-11-17,2475.056396484375
2022-11-18,2510.028564453125
2022-11-21,2516.023681640625
2022-11-22,2537.007080078125
2022-11-23,2609.9501953125
2022-11-24,2612.94775390625
2022-11-25,2629.934326171875
2022-11-28,2595.961181640625
2022-11-29,2583.970703125
2022-11-30,2581.9716796875
2022-12-01,2603.954833984375
2022-12-02,2606.95263671875
2022-12-05,2599.9580078125
2022-12-06,2582.97119140625
2022-12-07,2581.9716796875
2022-12-08,2583.970703125
2022-12-09,2634.93017578125
2022-12-12,2614.9462890625
2022-12-13,2667.90478515625
2022-12-14,2672.900634765625
2022-12-15,2649.91845703125
2022-12-16,2599.9580078125
2022-12-19,2597.95947265625
2022-12-20,2611.948486328125
2022-12-21,2656.9130859375
2022-12-22,2629.934326171875
2022-12-23,2621.94091796875
2022-12-28,2619.9423828125
2022-12-29,2605.952880859375
2022-12-30,2567.98291015625
2023-01-03,2673.89990234375
2023-01-04,2699.87939453125
2023-01-05,2755.83544921875
2023-01-06,2799.801025390625
2023-01-09,2805.796142578125
2023-01-10,2837.77099609375
2023-01-11,2852.759521484375
2023-01-12,3017.6298828125
2023-01-13,3030.61962890625
2023-01-16,3060.596435546875
2023-01-17,3025.623291015625
2023-01-18,2975.66259765625
2023-01-19,2959.67529296875
2023-01-20,3018.62890625
2023-01-23,3029.62060546875
2023-01-24,3086.575439453125
2023-01-25,3065.592041015625
2023-01-26,3063.59375
2023-01-27,3073.5859375
2023-01-30,3072.586669921875
2023-01-31,3038.61328125
2023-02-01,3015.6318359375
2023-02-02,3148.527099609375
2023-02-03,3111.556396484375
2023-02-06,3105.560791015625
2023-02-07,3091.57177734375
2023-02-08,3111.556396484375
2023-02-09,3084.577392578125
2023-02-10,2990.65087890625
2023-02-13,3034.61669921875
2023-02-14,3055.60009765625
2023-02-15,3138.534912109375
2023-02-16,3144.530029296875
2023-02-17,3107.55908203125
2023-02-20,3082.578857421875
2023-02-21,3091.57177734375
2023-02-22,3084.577392578125
2023-02-23,3087.574951171875
2023-02-24,3112.55517578125
2023-02-27,3141.53271484375
2023-02-28,3086.575439453125
2023-03-01,3050.603759765625
2023-03-02,3072.586669921875
2023-03-03,3073.5859375
2023-03-06,3112.55517578125
2023-03-07,3095.568603515625
2023-03-08,3076.58349609375
2023-03-09,3063.59375
2023-03-10,2987.653564453125
2023-03-13,2849.76171875
2023-03-14,2913.711669921875
2023-03-15,2808.7939453125
2023-03-16,2868.746826171875
2023-03-17,2801.799560546875
2023-03-20,2841.76806640625
2023-03-21,2938.691650390625
2023-03-22,2927.700439453125
2023-03-23,2886.732666015625
2023-03-24,2814.789306640625
2023-03-27,2836.772216796875
2023-03-28,2852.759521484375
2023-03-29,2883.735107421875
2023-03-30,2958.676025390625
2023-03-31,2984.65576171875
2023-04-03,2960.674560546875
2023-04-04,2926.701171875
2023-04-05,2927.700439453125
2023-04-06,2985.655029296875
2023-04-11,2998.644775390625
2023-04-12,2976.662109375
2023-04-13,3013.633056640625
2023-04-14,3083.577880859375
2023-04-17,3117.55126953125
2023-04-18,3128.542724609375
2023-04-19,3125.545166015625
2023-04-20,3075.58447265625
2023-04-21,3122.54736328125
2023-04-24,3123.546630859375
2023-04-25,3256.4423828125
2023-04-26,3258.44091796875
2023-04-27,3189.49462890625
2023-04-28,3244.451904296875
2023-05-02,3256.4423828125
2023-05-03,3270.431396484375
2023-05-04,3235.45849609375
2023-05-05,3250.446533203125
2023-05-09,3278.425048828125
2023-05-10,3239.455810546875
2023-05-11,3243.452392578125
2023-05-12,3207.48095703125
2023-05-15,3259.43994140625
2023-05-16,3265.43505859375
2023-05-17,3278.425048828125
2023-05-18,3300.407470703125
2023-05-19,3303.40576171875
2023-05-22,3315.39599609375
2023-05-23,3327.386474609375
2023-05-24,3277.426025390625
2023-05-25,3269.92822265625
2023-05-26,3254.938232421875
2023-05-30,3304.906494140625
2023-05-31,3283.919921875
2023-06-01,3308.90380859375
2023-06-02,3371.864013671875
2023-06-05,3338.884765625
2023-06-06,3355.874267578125
2023-06-07,3311.902099609375
2023-06-08,3325.892822265625
2023-06-09,3369.865234375
2023-06-12,3424.83056640625
2023-06-13,3418.83447265625
2023-06-14,3397.84716796875
2023-06-15,3397.84716796875
2023-06-16,3442.81884765625
2023-06-19,3446.81640625
2023-06-20,3396.84814453125
2023-06-21,3389.8525390625
2023-06-22,3352.8759765625
2023-06-23,3268.92919921875
