Date,BAYN.DE
2016-05-18,72.91669464111328
2016-05-19,66.93482971191406
2016-05-20,67.71376037597656
2016-05-23,63.841796875
2016-05-24,65.90634155273438
2016-05-25,65.90634155273438
2016-05-26,64.77197265625
2016-05-27,64.52999114990234
2016-05-30,65.3694076538086
2016-05-31,64.7568588256836
2016-06-01,65.22572326660156
2016-06-02,66.65502166748047
2016-06-03,67.56251525878906
2016-06-06,67.44151306152344
2016-06-07,69.55142211914062
2016-06-08,69.30186462402344
2016-06-09,68.23556518554688
2016-06-10,66.54914855957031
2016-06-13,66.59452056884766
2016-06-14,65.91390991210938
2016-06-15,66.62477111816406
2016-06-16,66.37520599365234
2016-06-17,66.6096420288086
2016-06-20,68.37924194335938
2016-06-21,69.37749481201172
2016-06-22,69.45310974121094
2016-06-23,70.45890045166016
