Date,IAG.MC
2016-05-10,3.5619916915893555
2016-05-11,3.5544142723083496
2016-05-12,3.53493332862854
2016-05-13,3.494345188140869
2016-05-16,3.514908790588379
2016-05-17,3.5755202770233154
2016-05-18,3.6886255741119385
2016-05-19,3.631260633468628
2016-05-20,3.6042027473449707
2016-05-23,3.650202751159668
2016-05-24,3.755730152130127
2016-05-25,3.920788049697876
2016-05-26,3.8699185848236084
2016-05-27,3.8742470741271973
2016-05-30,3.879117965698242
2016-05-31,3.8017303943634033
2016-06-01,3.6664369106292725
2016-06-02,3.7394964694976807
2016-06-03,3.6696839332580566
2016-06-06,3.6280148029327393
2016-06-07,3.6263909339904785
2016-06-08,3.5544142723083496
2016-06-09,3.5446736812591553
2016-06-10,3.414793014526367
2016-06-13,3.347146511077881
