Date,ITW
2016-04-28,84.21977233886719
2016-04-29,84.17945861816406
2016-05-02,84.54193115234375
2016-05-03,84.13922882080078
2016-05-04,83.38217163085938
2016-05-05,83.08418273925781
2016-05-06,83.91373443603516
2016-05-09,83.83316040039062
2016-05-10,84.83989715576172
2016-05-11,83.98622131347656
2016-05-12,84.18755340576172
2016-05-13,82.939208984375
2016-05-16,84.0023422241211
2016-05-17,83.62379455566406
2016-05-18,83.20496368408203
2016-05-19,82.76200103759766
2016-05-20,83.06806945800781
2016-05-23,83.14861297607422
2016-05-24,84.49362182617188
2016-05-25,84.6788101196289
2016-05-26,84.77548217773438
2016-05-27,84.83989715576172
2016-05-31,85.39564514160156
2016-06-01,85.93525695800781
2016-06-02,86.27352142333984
2016-06-03,86.34602355957031
2016-06-06,86.78897094726562
