Date,ASTERDM.NS
2018-08-01,166.6866455078125
2018-08-02,166.4399871826172
2018-08-03,166.73597717285156
2018-08-06,168.56118774414062
2018-08-07,165.89735412597656
2018-08-08,164.7627716064453
2018-08-09,164.7134246826172
2018-08-10,165.50271606445312
2018-08-13,162.740234375
2018-08-14,169.79444885253906
2018-08-16,181.48568725585938
2018-08-17,184.69215393066406
2018-08-20,182.1763153076172
2018-08-21,181.5843505859375
2018-08-23,175.07276916503906
2018-08-24,172.1622772216797
2018-08-27,172.1129608154297
2018-08-28,176.1580352783203
2018-08-29,174.03683471679688
2018-08-30,176.35536193847656
2018-08-31,175.41807556152344
2018-09-03,178.03257751464844
2018-09-04,176.35536193847656
2018-09-05,173.88885498046875
2018-09-06,173.24755859375
2018-09-07,173.14889526367188
2018-09-10,168.95582580566406
2018-09-11,164.0721435546875
2018-09-12,163.677490234375
2018-09-14,160.3230438232422
2018-09-17,159.63243103027344
2018-09-18,158.9418182373047
2018-09-19,158.84315490722656
2018-09-21,160.3230438232422
2018-09-24,157.2645721435547
2018-09-25,153.36749267578125
2018-09-26,157.31390380859375
2018-09-27,153.76214599609375
2018-09-28,153.81146240234375
2018-10-01,149.3717498779297
2018-10-03,153.36749267578125
2018-10-04,157.0672607421875
2018-10-05,158.44850158691406
2018-10-08,156.0313262939453
2018-10-09,153.91012573242188
2018-10-10,153.41683959960938
2018-10-11,157.560546875
2018-10-12,157.36325073242188
2018-10-15,161.50697326660156
2018-10-16,163.7761688232422
2018-10-17,166.93328857421875
2018-10-19,165.65069580078125
2018-10-22,154.94606018066406
2018-10-23,156.1793212890625
2018-10-24,157.2152557373047
2018-10-25,155.39002990722656
2018-10-26,156.8206024169922
2018-10-29,157.4619140625
2018-10-30,154.84739685058594
2018-10-31,156.77127075195312
2018-11-01,155.24205017089844
2018-11-02,153.81146240234375
2018-11-05,157.0672607421875
2018-11-06,154.55142211914062
2018-11-07,153.170166015625
2018-11-09,157.31390380859375
2018-11-12,157.560546875
2018-11-13,157.31390380859375
2018-11-14,155.1927032470703
2018-11-15,154.10745239257812
2018-11-16,155.83399963378906
2018-11-19,153.7128143310547
2018-11-20,148.87844848632812
2018-11-21,147.7438507080078
2018-11-22,143.6987762451172
2018-11-26,143.3534698486328
2018-11-27,139.80169677734375
2018-11-28,139.7523651123047
2018-11-29,142.07089233398438
2018-11-30,150.9503173828125
2018-12-03,148.77978515625
2018-12-04,148.53314208984375
2018-12-05,145.7213134765625
2018-12-06,145.96795654296875
2018-12-07,149.7664031982422
2018-12-10,145.3760223388672
2018-12-11,148.6317901611328
2018-12-12,149.1744384765625
2018-12-13,148.2864990234375
2018-12-14,148.1878204345703
2018-12-17,149.56907653808594
2018-12-18,147.79318237304688
2018-12-19,152.92352294921875
2018-12-20,150.2103729248047
2018-12-21,145.12936401367188
2018-12-24,146.26394653320312
2018-12-26,147.7438507080078
2018-12-27,146.65858459472656
2018-12-28,150.01304626464844
2018-12-31,153.21951293945312
2019-01-01,159.3857879638672
2019-01-02,157.85653686523438
2019-01-03,157.85653686523438
2019-01-04,158.49783325195312
2019-01-07,162.4935760498047
