Date,UMI.BR
2016-05-17,17.882535934448242
2016-05-18,17.756450653076172
2016-05-19,17.378185272216797
2016-05-20,17.47825050354004
2016-05-23,17.698406219482422
2016-05-24,18.086681365966797
2016-05-25,17.970600128173828
2016-05-26,18.310834884643555
2016-05-27,18.160730361938477
2016-05-30,18.144723892211914
2016-05-31,18.132715225219727
2016-06-01,18.016632080078125
2016-06-02,18.45293426513672
2016-06-03,18.284820556640625
2016-06-06,18.645071029663086
2016-06-07,18.895248413085938
2016-06-08,18.839208602905273
2016-06-09,18.593036651611328
2016-06-10,18.438926696777344
2016-06-13,18.264806747436523
2016-06-14,17.96059226989746
2016-06-15,18.090682983398438
2016-06-16,17.728425979614258
2016-06-17,18.016632080078125
2016-06-20,18.725128173828125
2016-06-21,18.66108512878418
