Date,IFX.DE
2016-05-18,11.172470092773438
2016-05-19,11.158809661865234
2016-05-20,11.368237495422363
2016-05-23,11.532135963439941
2016-05-24,11.71880054473877
2016-05-25,11.937332153320312
2016-05-26,12.023835182189941
2016-05-27,12.210498809814453
2016-05-30,12.201391220092773
2016-05-31,12.274236679077148
2016-06-01,12.001070976257324
2016-06-02,11.987411499023438
2016-06-03,12.001070976257324
2016-06-06,12.096677780151367
2016-06-07,12.319764137268066
2016-06-08,12.292447090148926
2016-06-09,12.278788566589355
2016-06-10,11.950990676879883
2016-06-13,11.554901123046875
2016-06-14,11.404659271240234
2016-06-15,11.409212112426758
2016-06-16,11.25441837310791
2016-06-17,11.604981422424316
2016-06-20,12.028387069702148
2016-06-21,11.914568901062012
2016-06-22,12.301554679870605
