Date,LLOY.L
2016-05-19,68.8127212524414
2016-05-20,70.06785583496094
2016-05-23,69.94830322265625
2016-05-24,72.13980102539062
2016-05-25,73.4546890258789
2016-05-26,72.52828979492188
2016-05-27,72.169677734375
2016-05-31,71.7413558959961
2016-06-01,71.06398010253906
2016-06-02,70.2571029663086
2016-06-03,69.72916412353516
2016-06-06,69.37055969238281
2016-06-07,69.97820281982422
2016-06-08,69.58971405029297
2016-06-09,68.84261322021484
2016-06-10,66.79058837890625
2016-06-13,63.98150634765625
2016-06-14,61.93942642211914
2016-06-15,62.756248474121094
2016-06-16,61.122596740722656
2016-06-17,64.79832458496094
2016-06-20,69.72916412353516
2016-06-21,70.0578842163086
2016-06-22,70.27705383300781
2016-06-23,71.87084197998047
2016-06-24,56.77946472167969
2016-06-27,50.95210266113281
