Date,CWK.L
2015-12-15,1853.4844970703125
2015-12-16,1884.426025390625
2015-12-17,1897.4013671875
2015-12-18,1918.3614501953125
2015-12-21,1911.374755859375
2015-12-22,1911.374755859375
2015-12-23,1920.35791015625
2015-12-24,1946.3087158203125
2015-12-29,1929.3404541015625
2015-12-30,1920.35791015625
2015-12-31,1914.369140625
2016-01-04,1909.378662109375
2016-01-05,1914.369140625
2016-01-06,1906.384521484375
2016-01-07,1898.3992919921875
2016-01-08,1912.3729248046875
2016-01-11,1926.3468017578125
2016-01-12,1916.3656005859375
2016-01-13,1924.3499755859375
2016-01-14,1913.370849609375
2016-01-15,1927.3446044921875
2016-01-18,1908.38037109375
2016-01-19,1897.4013671875
2016-01-20,1886.4219970703125
2016-01-21,1896.403076171875
2016-01-22,1909.378662109375
2016-01-25,1951.2987060546875
2016-01-26,1944.3125
2016-01-27,1981.242431640625
2016-01-28,2077.060791015625
2016-01-29,2085.044921875
2016-02-01,2093.03076171875
2016-02-02,2096.02490234375
2016-02-03,2028.1534423828125
2016-02-04,1989.2271728515625
2016-02-05,1952.2972412109375
2016-02-08,1953.295166015625
2016-02-09,1930.3389892578125
2016-02-10,1937.32568359375
2016-02-11,1907.382568359375
2016-02-12,1900.3958740234375
2016-02-15,1898.3992919921875
2016-02-16,1925.3482666015625
2016-02-17,1970.262939453125
2016-02-18,2011.1856689453125
2016-02-19,1971.260986328125
2016-02-22,1999.2081298828125
2016-02-23,1982.2403564453125
2016-02-24,1962.2783203125
2016-02-25,1992.2216796875
2016-02-26,2004.1988525390625
2016-02-29,1942.316162109375
2016-03-01,1965.2728271484375
2016-03-02,1961.27978515625
2016-03-03,1959.2838134765625
2016-03-04,1981.242431640625
2016-03-07,1981.242431640625
2016-03-08,1926.3468017578125
2016-03-09,1957.2877197265625
2016-03-10,1981.242431640625
2016-03-11,1986.23291015625
2016-03-14,1982.2403564453125
2016-03-15,2016.1759033203125
2016-03-16,2054.103759765625
2016-03-17,2096.02490234375
2016-03-18,2096.02490234375
2016-03-21,2100.017333984375
2016-03-22,2104.009521484375
2016-03-23,2127.9638671875
2016-03-24,2109.998046875
2016-03-29,2133.95263671875
2016-03-30,2139.941162109375
2016-03-31,2128.96240234375
2016-04-01,2128.96240234375
2016-04-04,2161.8994140625
2016-04-05,2153.91455078125
2016-04-06,2158.905029296875
2016-04-07,2183.85791015625
2016-04-08,2176.87109375
2016-04-11,2533.195556640625
2016-04-12,2397.452880859375
2016-04-13,2420.409423828125
2016-04-14,2347.547607421875
2016-04-15,2325.589599609375
2016-04-18,2325.589599609375
2016-04-19,2352.5380859375
2016-04-20,2282.67041015625
2016-04-21,2251.729248046875
2016-04-22,2227.77490234375
2016-04-25,2260.7119140625
2016-04-26,2288.658935546875
2016-04-27,2295.64599609375
2016-04-28,2313.61181640625
2016-04-29,2237.755615234375
2016-05-03,2271.69189453125
2016-05-04,2273.687744140625
2016-05-05,2292.65087890625
2016-05-06,2364.515380859375
2016-05-09,2385.47607421875
2016-05-10,2351.5400390625
2016-05-11,2356.52978515625
2016-05-12,2382.48095703125
2016-05-13,2356.52978515625
2016-05-16,2342.55712890625
2016-05-17,2353.5361328125
2016-05-18,2341.558837890625
2016-05-19,2293.64990234375
2016-05-20,2286.66357421875
2016-05-23,2323.59326171875
2016-05-24,2326.587158203125
2016-05-25,2293.64990234375
2016-05-26,2295.64599609375
2016-05-27,2302.632568359375
2016-05-31,2313.61181640625
2016-06-01,2328.58349609375
2016-06-02,2320.599365234375
2016-06-03,2341.558837890625
2016-06-06,2333.573974609375
2016-06-07,2320.599365234375
2016-06-08,2290.65576171875
2016-06-09,2301.634521484375
2016-06-10,2307.623046875
2016-06-13,2212.80322265625
2016-06-14,2108.001953125
