Date,NESF.L
2016-05-19,96.560302734375
2016-05-20,97.80143737792969
2016-05-23,97.80143737792969
2016-05-24,97.80143737792969
2016-05-25,97.5531997680664
2016-05-26,97.80143737792969
2016-05-27,97.80143737792969
2016-05-31,98.29788208007812
2016-06-01,97.05673217773438
2016-06-02,98.29788208007812
2016-06-03,97.5531997680664
2016-06-06,98.54609680175781
2016-06-07,98.79432678222656
2016-06-08,98.0496597290039
2016-06-09,97.05673217773438
2016-06-10,97.80143737792969
2016-06-13,96.80853271484375
2016-06-14,97.05673217773438
2016-06-15,98.0496597290039
2016-06-16,95.81561279296875
2016-06-17,98.54609680175781
2016-06-20,98.0496597290039
2016-06-21,96.560302734375
2016-06-22,96.560302734375
2016-06-23,98.29788208007812
2016-06-24,96.31204986572266
2016-06-27,93.58158111572266
