Date,TROW
2016-04-28,54.54472732543945
2016-04-29,54.19919204711914
2016-05-02,54.48713684082031
2016-05-03,53.940040588378906
2016-05-04,53.47931671142578
2016-05-05,53.51530838012695
2016-05-06,54.05521774291992
2016-05-09,54.01923370361328
2016-05-10,54.60950469970703
2016-05-11,54.24238967895508
2016-05-12,54.42955017089844
2016-05-13,53.36412811279297
2016-05-16,53.80326843261719
2016-05-17,53.328147888183594
2016-05-18,53.580101013183594
2016-05-19,53.083396911621094
2016-05-20,53.90404510498047
2016-05-23,53.63770294189453
2016-05-24,55.120635986328125
2016-05-25,55.6893424987793
2016-05-26,55.1854133605957
2016-05-27,55.52375411987305
2016-05-31,55.473384857177734
2016-06-01,55.4445686340332
2016-06-02,55.38698959350586
2016-06-03,54.695892333984375
2016-06-06,55.005470275878906
