Date,WSM
2016-04-28,23.476295471191406
2016-04-29,23.468311309814453
2016-05-02,23.939435958862305
2016-05-03,23.46432113647461
2016-05-04,23.396440505981445
2016-05-05,23.12894630432129
2016-05-06,22.95327377319336
2016-05-09,22.98920440673828
2016-05-10,23.160884857177734
2016-05-11,21.955135345458984
2016-05-12,21.76348876953125
2016-05-13,21.004898071289062
2016-05-16,20.402019500732422
2016-05-17,20.06264877319336
2016-05-18,19.17230987548828
2016-05-19,19.611492156982422
2016-05-20,19.994781494140625
2016-05-23,20.014739990234375
2016-05-24,20.314186096191406
2016-05-25,20.80127716064453
2016-05-26,20.757360458374023
2016-05-27,21.480005264282227
2016-05-31,21.176578521728516
2016-06-01,21.220495223999023
2016-06-02,21.52791976928711
2016-06-03,21.26042938232422
