Date,TATACONSUM.NS
2016-05-09,106.23241424560547
2016-05-10,105.74037170410156
2016-05-11,104.93524932861328
2016-05-12,106.41133117675781
2016-05-13,106.94808959960938
2016-05-16,107.93213653564453
2016-05-17,107.66374206542969
2016-05-18,108.20050048828125
2016-05-19,107.305908203125
2016-05-20,107.39537811279297
2016-05-23,107.70848083496094
2016-05-24,108.91616821289062
2016-05-25,106.90335083007812
2016-05-26,106.09822082519531
2016-05-27,104.93524932861328
2016-05-30,105.51673126220703
2016-05-31,105.33782196044922
2016-06-01,105.606201171875
2016-06-02,106.67969512939453
2016-06-03,107.5295639038086
2016-06-06,106.72444152832031
2016-06-07,106.7691650390625
2016-06-08,111.28683471679688
2016-06-09,111.77884674072266
2016-06-10,110.61589050292969
2016-06-13,114.64154815673828
2016-06-14,113.16548156738281
