Date,MARICO.NS
2016-04-01,210.07008361816406
2016-04-04,211.06834411621094
2016-04-05,212.67425537109375
2016-04-06,218.66380310058594
2016-04-07,214.54052734375
2016-04-08,218.8374786376953
2016-04-11,220.53016662597656
2016-04-12,224.1326141357422
2016-04-13,218.22979736328125
2016-04-18,223.82876586914062
2016-04-20,220.00936889648438
2016-04-21,225.0006866455078
2016-04-22,224.8270721435547
2016-04-25,220.87738037109375
2016-04-26,218.3600311279297
2016-04-27,217.01454162597656
2016-04-28,218.01278686523438
2016-04-29,224.9138641357422
2016-05-02,232.11871337890625
2016-05-03,220.92079162597656
2016-05-04,217.44857788085938
2016-05-05,214.06312561035156
2016-05-06,212.8478240966797
2016-05-09,214.6707763671875
2016-05-10,217.101318359375
2016-05-11,221.61526489257812
2016-05-12,220.74717712402344
2016-05-13,220.83399963378906
2016-05-16,218.40342712402344
2016-05-17,216.49371337890625
2016-05-18,217.9694061279297
2016-05-19,215.75584411621094
2016-05-20,211.06834411621094
2016-05-23,214.88780212402344
2016-05-24,213.36868286132812
2016-05-25,217.708984375
2016-05-26,220.2697296142578
2016-05-27,223.351318359375
2016-05-30,220.22633361816406
