Date,BAR.BR
2016-05-13,6.936091423034668
2016-05-16,6.886090278625488
2016-05-17,6.9535322189331055
2016-05-18,6.937252998352051
2016-05-19,6.947719097137451
2016-05-20,6.948880672454834
2016-05-23,6.9198102951049805
2016-05-24,7.007020950317383
2016-05-25,7.16283655166626
2016-05-26,7.110509395599365
2016-05-27,7.148882865905762
2016-05-30,7.118649482727051
2016-05-31,7.176789283752441
2016-06-01,7.209347248077393
2016-06-02,7.248883247375488
2016-06-03,7.187254428863525
2016-06-06,7.207022190093994
2016-06-07,7.223301887512207
2016-06-08,7.160511016845703
2016-06-09,7.122138023376465
2016-06-10,7.081439971923828
2016-06-13,6.93841552734375
2016-06-14,6.797717094421387
2016-06-15,6.769809246063232
2016-06-16,6.636088848114014
2016-06-17,6.74539041519165
2016-06-20,6.931439399719238
