Date,AEE
2016-04-28,36.3879280090332
2016-04-29,36.62445831298828
2016-05-02,36.73128890991211
2016-05-03,37.04412078857422
2016-05-04,37.18145751953125
2016-05-05,37.29591369628906
2016-05-06,36.76943588256836
2016-05-09,36.95255661010742
2016-05-10,37.1280517578125
2016-05-11,36.73892593383789
2016-05-12,36.71602249145508
2016-05-13,36.677879333496094
2016-05-16,36.54815673828125
2016-05-17,36.10560607910156
2016-05-18,35.7241096496582
2016-05-19,36.128509521484375
2016-05-20,36.044586181640625
2016-05-23,35.62491989135742
2016-05-24,36.044586181640625
2016-05-25,35.94538116455078
2016-05-26,36.4947624206543
2016-05-27,36.70840072631836
2016-05-31,37.8071174621582
2016-06-01,37.71556854248047
2016-06-02,37.463775634765625
2016-06-03,38.15047836303711
2016-06-06,38.12355422973633
2016-06-07,38.07736587524414
2016-06-08,38.231285095214844
2016-06-09,39.16244125366211
2016-06-10,39.2162971496582
2016-06-13,39.0623893737793
2016-06-14,39.48564910888672
2016-06-15,39.177833557128906
2016-06-16,39.4010009765625
2016-06-17,39.454872131347656
2016-06-20,39.51642990112305
2016-06-21,39.531829833984375
2016-06-22,39.447166442871094
2016-06-23,39.63187026977539
2016-06-24,39.855037689208984
2016-06-27,40.25521469116211
2016-06-28,40.23212432861328
2016-06-29,40.401424407958984
2016-06-30,41.232540130615234
2016-07-01,41.36335372924805
2016-07-05,41.37105178833008
2016-07-06,41.37874984741211
2016-07-07,40.5168571472168
2016-07-08,40.90161895751953
2016-07-11,40.740028381347656
2016-07-12,40.370635986328125
2016-07-13,40.693851470947266
2016-07-14,40.20132827758789
2016-07-15,40.409114837646484
2016-07-18,40.409114837646484
2016-07-19,40.27828598022461
2016-07-20,40.178260803222656
2016-07-21,40.20132827758789
2016-07-22,40.6861457824707
2016-07-25,40.555320739746094
2016-07-26,40.18594741821289
2016-07-27,39.83964920043945
2016-07-28,40.132076263427734
2016-07-29,40.355247497558594
2016-08-01,40.416805267333984
2016-08-02,40.1474609375
2016-08-03,39.74729919433594
