Date,QUINENCO.SN
2016-05-23,683.6599731445312
2016-05-24,663.2027587890625
2016-05-25,660.5206909179688
2016-05-26,670.1970825195312
2016-05-27,673.1420288085938
2016-05-30,681.0304565429688
2016-05-31,675.9293212890625
2016-06-01,678.4010620117188
2016-06-02,683.4495849609375
2016-06-03,683.4495849609375
2016-06-06,683.6599731445312
2016-06-07,694.177734375
2016-06-08,694.177734375
2016-06-09,694.177734375
2016-06-10,691.5482177734375
2016-06-13,688.9188232421875
2016-06-14,683.6599731445312
2016-06-15,688.4982299804688
2016-06-16,688.392822265625
2016-06-17,676.0345458984375
2016-06-20,675.771728515625
2016-06-21,676.1921997070312
2016-06-22,676.1921997070312
2016-06-23,675.771728515625
2016-06-24,675.771728515625
2016-06-28,675.771728515625
2016-06-29,675.771728515625
2016-06-30,675.771728515625
