Date,ACI.NS
2023-08-24,576.2946166992188
2023-08-25,588.1295166015625
2023-08-28,643.2930297851562
2023-08-29,642.500732421875
2023-08-30,643.04541015625
2023-08-31,663.9916381835938
2023-09-01,657.9009399414062
2023-09-04,647.5020141601562
2023-09-05,649.928466796875
2023-09-06,633.4884033203125
2023-09-07,617.9891357421875
2023-09-08,627.1005859375
2023-09-11,635.1719970703125
2023-09-12,602.6383666992188
2023-09-13,599.4197387695312
2023-09-14,613.9286499023438
2023-09-15,606.4017944335938
2023-09-18,598.7760009765625
2023-09-20,593.1309204101562
2023-09-21,588.5256958007812
2023-09-22,580.1075439453125
2023-09-25,582.6329956054688
2023-09-26,578.6715698242188
2023-09-27,578.1763305664062
2023-09-28,578.3743896484375
2023-09-29,583.1776733398438
2023-10-03,603.3316650390625
