Date,PNBHOUSING.NS
2017-08-03,1166.1273193359375
2017-08-04,1247.643798828125
2017-08-07,1256.7774658203125
2017-08-08,1257.262451171875
2017-08-09,1229.7401123046875
2017-08-10,1197.2061767578125
2017-08-11,1204.844482421875
2017-08-14,1220.0404052734375
2017-08-16,1248.775390625
2017-08-17,1240.89453125
2017-08-18,1234.064453125
2017-08-21,1241.8646240234375
2017-08-22,1223.112060546875
2017-08-23,1241.8240966796875
2017-08-24,1254.9993896484375
2017-08-28,1284.2191162109375
2017-08-29,1293.7569580078125
2017-08-30,1364.0784912109375
2017-08-31,1320.713623046875
2017-09-01,1311.5394287109375
2017-09-04,1285.3104248046875
2017-09-05,1304.8709716796875
2017-09-06,1285.6336669921875
2017-09-07,1322.7344970703125
2017-09-08,1321.036865234375
2017-09-11,1338.01123046875
