Date,STT
2016-04-28,48.09306716918945
2016-04-29,47.70256042480469
2016-05-02,48.16963195800781
2016-05-03,46.75310516357422
2016-05-04,45.956787109375
2016-05-05,45.742401123046875
2016-05-06,45.75771713256836
2016-05-09,45.788330078125
2016-05-10,46.79139709472656
2016-05-11,46.23242950439453
2016-05-12,45.96442794799805
2016-05-13,45.35189437866211
2016-05-16,45.719417572021484
2016-05-17,45.704105377197266
2016-05-18,47.090003967285156
2016-05-19,46.492767333984375
2016-05-20,47.036415100097656
2016-05-23,46.898582458496094
2016-05-24,47.89398193359375
2016-05-25,48.75920867919922
2016-05-26,48.13900375366211
2016-05-27,48.491214752197266
2016-05-31,48.284488677978516
2016-06-01,48.207916259765625
2016-06-02,48.238548278808594
2016-06-03,46.71481704711914
2016-06-06,47.89398193359375
