Date,INDIGO.NS
2016-08-16,782.09765625
2016-08-17,812.19287109375
2016-08-18,833.1553344726562
2016-08-19,833.4866943359375
2016-08-22,853.5501098632812
2016-08-23,847.0674438476562
2016-08-24,831.7831420898438
2016-08-25,834.0543823242188
2016-08-26,810.867919921875
2016-08-29,822.5084838867188
2016-08-30,833.7232055664062
2016-08-31,835.2847290039062
2016-09-01,830.126953125
2016-09-02,823.8334350585938
2016-09-06,822.3192749023438
2016-09-07,824.4486083984375
2016-09-08,820.9942626953125
2016-09-09,817.161376953125
2016-09-12,833.052978515625
2016-09-14,829.826416015625
2016-09-15,837.4351196289062
2016-09-16,834.9310913085938
2016-09-19,833.0048217773438
2016-09-20,826.6000366210938
2016-09-21,850.9669799804688
2016-09-22,860.1167602539062
2016-09-23,887.3729858398438
