Date,CCEP.L
2019-12-30,4530.56787109375
2019-12-31,4542.54736328125
2020-01-02,4550.533203125
2020-01-03,4542.54736328125
2020-01-06,4562.51513671875
2020-01-07,4555.52587890625
2020-01-08,4577.48974609375
2020-01-09,4577.48974609375
2020-01-10,4590.46923828125
2020-01-13,4615.4287109375
2020-01-14,4615.4287109375
2020-01-15,4697.29443359375
2020-01-16,4740.2236328125
2020-01-17,4827.08056640625
2020-01-20,4817.09619140625
2020-01-21,4765.18212890625
2020-01-22,4805.11669921875
2020-01-23,4805.11669921875
2020-01-24,4810.109375
2020-01-27,4807.11279296875
2020-01-28,4847.0478515625
2020-01-29,4847.0478515625
2020-01-30,4797.1298828125
2020-01-31,4797.1298828125
2020-02-03,4797.1298828125
2020-02-04,4797.1298828125
