Date,CON.DE
2016-05-18,126.8070068359375
2016-05-19,127.2244644165039
2016-05-20,128.7552032470703
2016-05-23,127.53756713867188
2016-05-24,129.65972900390625
2016-05-25,129.7989044189453
2016-05-26,133.069091796875
2016-05-27,133.3126220703125
2016-05-30,133.90402221679688
2016-05-31,134.14756774902344
2016-06-01,132.6864013671875
2016-06-02,132.79075622558594
2016-06-03,131.12086486816406
2016-06-06,130.70343017578125
2016-06-07,133.79966735839844
2016-06-08,131.67750549316406
2016-06-09,129.5553741455078
2016-06-10,126.98095703125
2016-06-13,125.10234069824219
2016-06-14,124.47611999511719
2016-06-15,125.7981185913086
2016-06-16,124.99797821044922
2016-06-17,126.45913696289062
2016-06-20,132.1645965576172
2016-06-21,132.1645965576172
2016-06-22,133.069091796875
2016-06-23,136.9307098388672
