Date,REL.L
2017-12-04,1714.9923095703125
2017-12-05,1715.990478515625
2017-12-06,1724.974609375
2017-12-07,1711.9974365234375
2017-12-08,1709.002685546875
2017-12-11,1711.9974365234375
2017-12-12,1711.9974365234375
2017-12-13,1734.9571533203125
2017-12-14,1723.976318359375
2017-12-15,1725.972900390625
2017-12-18,1727.9693603515625
2017-12-19,1718.985107421875
2017-12-20,1724.974609375
2017-12-21,1726.970947265625
2017-12-22,1728.967529296875
2017-12-27,1728.967529296875
2017-12-28,1731.96240234375
2017-12-29,1735.95556640625
2018-01-02,1711.9974365234375
2018-01-03,1705.0098876953125
2018-01-04,1708.5037841796875
2018-01-05,1710.5
2018-01-08,1697.0234375
2018-01-09,1691.0341796875
2018-01-10,1675.5615234375
2018-01-11,1658.591064453125
2018-01-12,1656.095458984375
2018-01-15,1644.116455078125
2018-01-16,1651.603515625
2018-01-17,1637.12890625
2018-01-18,1620.6575927734375
2018-01-19,1643.617431640625
2018-01-22,1600.1937255859375
2018-01-23,1604.1865234375
2018-01-24,1583.223388671875
2018-01-25,1554.2738037109375
2018-01-26,1558.76611328125
2018-01-29,1557.7679443359375
2018-01-30,1554.773193359375
2018-01-31,1555.272216796875
2018-02-01,1517.3389892578125
2018-02-02,1508.853759765625
2018-02-05,1492.3824462890625
2018-02-06,1462.435302734375
2018-02-07,1497.3740234375
2018-02-08,1471.41943359375
2018-02-09,1479.4052734375
2018-02-12,1486.892333984375
2018-02-13,1452.4525146484375
2018-02-14,1453.9500732421875
2018-02-15,1463.4332275390625
2018-02-16,1488.3900146484375
2018-02-19,1467.4268798828125
2018-02-20,1490.38623046875
2018-02-21,1519.83447265625
2018-02-22,1515.342041015625
2018-02-23,1515.342041015625
2018-02-26,1499.3704833984375
2018-02-27,1488.3900146484375
2018-02-28,1490.38623046875
2018-03-01,1477.40869140625
2018-03-02,1464.9306640625
2018-03-05,1469.9217529296875
2018-03-06,1479.904296875
2018-03-07,1483.897705078125
2018-03-08,1503.36328125
2018-03-09,1509.8519287109375
2018-03-12,1518.8359375
2018-03-13,1489.8870849609375
2018-03-14,1487.890380859375
2018-03-15,1488.3900146484375
2018-03-16,1482.8992919921875
2018-03-19,1478.4071044921875
2018-03-20,1470.9202880859375
2018-03-21,1457.9429931640625
2018-03-22,1450.9554443359375
2018-03-23,1434.9832763671875
2018-03-26,1426.9974365234375
2018-03-27,1451.454345703125
2018-03-28,1466.4278564453125
2018-03-29,1462.435302734375
2018-04-03,1465.4296875
2018-04-04,1469.423095703125
2018-04-05,1514.3441162109375
2018-04-06,1515.342041015625
2018-04-09,1520.832763671875
2018-04-10,1539.7994384765625
2018-04-11,1522.8291015625
2018-04-12,1502.8642578125
2018-04-13,1510.850341796875
2018-04-16,1507.356201171875
2018-04-17,1500.8677978515625
2018-04-18,1507.8553466796875
2018-04-19,1522.8291015625
2018-04-20,1541.296630859375
2018-04-23,1542.294921875
2018-04-24,1551.2791748046875
2018-04-25,1545.7889404296875
2018-04-26,1536.580322265625
2018-04-27,1551.0576171875
2018-04-30,1552.055908203125
2018-05-01,1558.5460205078125
2018-05-02,1558.5460205078125
2018-05-03,1553.5537109375
2018-05-04,1570.02783203125
2018-05-08,1580.0118408203125
2018-05-09,1581.0103759765625
2018-05-10,1602.9757080078125
2018-05-11,1589.4970703125
2018-05-14,1578.5142822265625
2018-05-15,1584.0057373046875
2018-05-16,1584.5050048828125
2018-05-17,1594.4892578125
2018-05-18,1616.953857421875
2018-05-21,1640.916015625
2018-05-22,1638.4202880859375
2018-05-23,1639.4183349609375
2018-05-24,1631.430908203125
2018-05-25,1642.413330078125
2018-05-29,1630.9317626953125
2018-05-30,1637.42138671875
2018-05-31,1649.9017333984375
2018-06-01,1646.4073486328125
2018-06-04,1664.8780517578125
2018-06-05,1667.873779296875
2018-06-06,1676.3603515625
2018-06-07,1665.8768310546875
2018-06-08,1670.869140625
2018-06-11,1687.8421630859375
2018-06-12,1670.3697509765625
2018-06-13,1652.39794921875
2018-06-14,1606.9697265625
2018-06-15,1622.944580078125
2018-06-18,1619.4500732421875
2018-06-19,1599.98046875
2018-06-20,1604.9725341796875
2018-06-21,1604.9725341796875
2018-06-22,1630.432861328125
2018-06-25,1598.982177734375
