Date,VARROC.NS
2019-04-16,577.9208984375
2019-04-18,566.290771484375
2019-04-22,560.3040771484375
2019-04-23,557.0652465820312
2019-04-24,557.5559692382812
2019-04-25,558.7337036132812
2019-04-26,555.8385009765625
2019-04-30,540.6752319335938
2019-05-02,531.9404296875
2019-05-03,529.634033203125
2019-05-06,528.603515625
2019-05-07,520.8011474609375
2019-05-08,510.64312744140625
2019-05-09,503.18426513671875
2019-05-10,499.9454650878906
2019-05-13,484.09521484375
2019-05-14,488.757080078125
2019-05-15,486.6470031738281
2019-05-16,471.7290954589844
2019-05-17,478.7954406738281
2019-05-20,482.52490234375
2019-05-21,477.7649230957031
2019-05-22,476.34185791015625
2019-05-23,472.61236572265625
2019-05-24,486.696044921875
2019-05-27,506.7664489746094
2019-05-28,513.8328247070312
