Date,BX
2016-04-28,18.4140567779541
2016-04-29,18.188688278198242
2016-05-02,18.32125473022461
2016-05-03,17.923545837402344
2016-05-04,17.625259399414062
2016-05-05,17.737945556640625
2016-05-06,17.684917449951172
2016-05-09,17.75120735168457
2016-05-10,17.863887786865234
2016-05-11,17.75120735168457
2016-05-12,17.466171264648438
2016-05-13,17.101608276367188
2016-05-16,17.187774658203125
2016-05-17,17.27394676208496
2016-05-18,16.7635498046875
2016-05-19,16.43212890625
2016-05-20,16.869604110717773
2016-05-23,16.72378158569336
2016-05-24,17.35349464416504
2016-05-25,17.704803466796875
2016-05-26,17.565601348876953
2016-05-27,17.757829666137695
2016-05-31,17.360116958618164
2016-06-01,17.406517028808594
2016-06-02,17.419775009155273
2016-06-03,17.293838500976562
2016-06-06,17.698179244995117
