Date,ARML3.SA
2022-04-29,13.289925575256348
2022-05-02,12.41110610961914
2022-05-03,12.106207847595215
2022-05-04,12.240721702575684
2022-05-05,12.1151762008667
2022-05-06,11.178695678710938
2022-05-09,10.547640800476074
2022-05-10,10.7459716796875
2022-05-11,10.78203296661377
2022-05-12,11.133620262145996
2022-05-13,11.719599723815918
2022-05-16,11.422102928161621
2022-05-17,11.764678001403809
2022-05-18,11.719599723815918
2022-05-19,11.584376335144043
2022-05-20,11.584376335144043
2022-05-23,11.656496047973633
2022-05-24,11.611419677734375
2022-05-25,11.557330131530762
2022-05-26,11.701568603515625
2022-05-27,11.89990234375
2022-05-30,12.017099380493164
2022-05-31,12.458837509155273
2022-06-01,12.377701759338379
2022-06-02,12.53095817565918
2022-06-03,12.467852592468262
