Date,BALL
2016-04-28,33.1706657409668
2016-04-29,32.46568298339844
2016-05-02,32.770408630371094
2016-05-03,32.542999267578125
2016-05-04,32.76587677001953
2016-05-05,32.670352935791016
2016-05-06,32.492958068847656
2016-05-09,32.75675582885742
2016-05-10,32.8204345703125
2016-05-11,32.8204345703125
2016-05-12,33.129722595214844
2016-05-13,32.81135177612305
2016-05-16,33.252532958984375
2016-05-17,32.61576843261719
2016-05-18,32.63396072387695
2016-05-19,32.48387908935547
2016-05-20,32.64305114746094
2016-05-23,32.27010726928711
2016-05-24,32.638511657714844
2016-05-25,32.78859329223633
2016-05-26,32.665809631347656
2016-05-27,32.930076599121094
2016-05-31,32.94374465942383
2016-06-01,32.77060317993164
2016-06-02,33.572547912597656
2016-06-03,33.82772445678711
2016-06-06,33.85506057739258
