Date,FERG.L
2016-05-23,4228.546875
2016-05-24,4294.9140625
2016-05-25,4297.01904296875
2016-05-26,4308.609375
2016-05-27,4306.50048828125
2016-05-31,4267.5244140625
2016-06-01,4032.6044921875
2016-06-02,3988.359375
2016-06-03,3946.220947265625
2016-06-06,3886.1748046875
2016-06-07,3904.08349609375
2016-06-08,3894.602783203125
2016-06-09,3893.548583984375
2016-06-10,3824.021484375
2016-06-13,3760.814453125
2016-06-14,3712.355712890625
2016-06-15,3772.40283203125
2016-06-16,3727.103759765625
2016-06-17,3881.96142578125
2016-06-20,3976.771728515625
2016-06-21,3982.03857421875
2016-06-22,3971.504638671875
2016-06-23,4052.619873046875
2016-06-24,3942.007568359375
2016-06-27,3743.958984375
2016-06-28,3878.80078125
2016-06-29,4018.909912109375
2016-06-30,4076.848876953125
2016-07-01,4186.40771484375
2016-07-04,4106.345703125
2016-07-05,4082.115966796875
2016-07-06,4035.7646484375
2016-07-07,4092.650146484375
2016-07-08,4165.34033203125
2016-07-11,4292.80615234375
2016-07-12,4261.20263671875
2016-07-13,4298.07373046875
2016-07-14,4282.27197265625
2016-07-15,4327.5703125
2016-07-18,4304.39453125
2016-07-19,4279.111328125
2016-07-20,4319.14306640625
2016-07-21,4282.27197265625
2016-07-22,4287.5400390625
2016-07-25,4298.07373046875
2016-07-26,4319.14306640625
2016-07-27,4388.67138671875
2016-07-28,4385.509765625
2016-07-29,4433.96923828125
2016-08-01,4420.2744140625
2016-08-02,4377.0810546875
2016-08-03,4365.4931640625
2016-08-04,4398.1513671875
2016-08-05,4387.61669921875
2016-08-08,4377.0810546875
2016-08-09,4435.02197265625
2016-08-10,4465.57080078125
2016-08-11,4465.57080078125
2016-08-12,4537.20849609375
2016-08-15,4567.75634765625
2016-08-16,4486.64208984375
2016-08-17,4448.716796875
2016-08-18,4510.86962890625
2016-08-19,4514.03076171875
2016-08-22,4489.80126953125
2016-08-23,4570.9169921875
2016-08-24,4545.634765625
2016-08-25,4523.51171875
2016-08-26,4561.43603515625
2016-08-30,4607.7880859375
2016-08-31,4614.10791015625
2016-09-01,4612.001953125
2016-09-02,4673.1015625
2016-09-05,4661.513671875
2016-09-06,4649.92529296875
2016-09-07,4685.7431640625
2016-09-08,4632.01806640625
2016-09-09,4534.046875
2016-09-12,4475.0537109375
2016-09-13,4503.49609375
2016-09-14,4548.79443359375
2016-09-15,4612.001953125
2016-09-16,4614.10791015625
2016-09-19,4628.8564453125
2016-09-20,4590.9326171875
2016-09-21,4616.21533203125
2016-09-22,4641.4990234375
2016-09-23,4620.42919921875
2016-09-26,4529.83251953125
2016-09-27,4470.84033203125
2016-09-28,4487.69580078125
2016-09-29,4538.2607421875
2016-09-30,4587.771484375
