Date,TMUS
2016-04-28,38.738731384277344
2016-04-29,38.271060943603516
2016-05-02,38.962825775146484
2016-05-03,38.641300201416016
2016-05-04,38.09568405151367
2016-05-05,38.24182891845703
2016-05-06,38.475669860839844
2016-05-09,38.87514114379883
2016-05-10,39.76176452636719
2016-05-11,39.771507263183594
2016-05-12,39.674072265625
2016-05-13,39.596134185791016
2016-05-16,39.576637268066406
2016-05-17,39.674072265625
2016-05-18,39.63510513305664
2016-05-19,39.76176452636719
2016-05-20,40.628902435302734
2016-05-23,40.5704460144043
2016-05-24,40.79452896118164
2016-05-25,41.03811264038086
2016-05-26,41.535011291503906
2016-05-27,41.447330474853516
2016-05-31,41.661678314208984
2016-06-01,41.525272369384766
2016-06-02,42.080631256103516
2016-06-03,42.50933074951172
2016-06-06,41.96371078491211
