Date,DABUR.NS
2016-05-10,267.330810546875
2016-05-11,270.0487976074219
2016-05-12,268.48248291015625
2016-05-13,266.7319030761719
2016-05-16,262.53973388671875
2016-05-17,259.08465576171875
2016-05-18,263.8296813964844
2016-05-19,259.4071350097656
2016-05-20,255.30709838867188
2016-05-23,263.13861083984375
2016-05-24,260.8352966308594
2016-05-25,265.994873046875
2016-05-26,271.2464904785156
2016-05-27,272.53643798828125
2016-05-30,274.83978271484375
2016-05-31,266.9161682128906
2016-06-01,267.28472900390625
2016-06-02,275.7611389160156
2016-06-03,281.84210205078125
2016-06-06,279.40045166015625
2016-06-07,283.408447265625
2016-06-08,283.4544677734375
2016-06-09,279.4926452636719
2016-06-10,277.8341979980469
2016-06-13,279.5847473144531
2016-06-14,283.6847839355469
2016-06-15,287.692626953125
