Date,JHSF3.SA
2016-05-12,0.9525946378707886
2016-05-13,0.9592563509941101
2016-05-16,0.8659951686859131
2016-05-17,0.8326876163482666
2016-05-18,0.8526718020439148
2016-05-19,0.8526718020439148
2016-05-20,0.8127030730247498
2016-05-23,0.8060414791107178
2016-05-24,0.7727338075637817
2016-05-25,0.7727338075637817
2016-05-27,0.7660726308822632
2016-05-30,0.759411096572876
2016-05-31,0.7460881471633911
2016-06-01,0.7527495622634888
2016-06-02,0.759411096572876
2016-06-03,0.7460881471633911
2016-06-06,0.7394266724586487
2016-06-07,0.7394266724586487
2016-06-08,0.799379825592041
2016-06-09,0.7793956398963928
2016-06-10,0.7793956398963928
2016-06-13,0.8193644285202026
2016-06-14,0.7793956398963928
2016-06-15,0.7860569357872009
2016-06-16,0.7793956398963928
