Date,IP
2016-04-28,27.777559280395508
2016-04-29,27.586301803588867
2016-05-02,27.707429885864258
2016-05-03,26.89138412475586
2016-05-04,26.629989624023438
2016-05-05,26.457849502563477
2016-05-06,26.840375900268555
2016-05-09,27.108142852783203
2016-05-10,27.471538543701172
2016-05-11,27.293020248413086
2016-05-12,27.159143447875977
2016-05-13,26.757495880126953
2016-05-16,26.91050910949707
2016-05-17,26.260221481323242
2016-05-18,25.686429977416992
2016-05-19,25.667306900024414
2016-05-20,25.775693893432617
2016-05-23,26.094459533691406
2016-05-24,26.406850814819336
2016-05-25,27.147890090942383
2016-05-26,26.961029052734375
2016-05-27,27.12211799621582
2016-05-31,27.167221069335938
2016-06-01,27.135005950927734
2016-06-02,27.644071578979492
2016-06-03,27.663394927978516
